"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","MAPLE SYRUP - LENGTH OF SEASON, AVG, MEASURED IN DAYS  -  <b>VALUE</b>","MAPLE SYRUP - LENGTH OF SEASON, AVG, MEASURED IN DAYS  -  <b>CV (%)</b>","MAPLE SYRUP - NUMBER OF TAPS  -  <b>VALUE</b>","MAPLE SYRUP - NUMBER OF TAPS  -  <b>CV (%)</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS  -  <b>VALUE</b>","MAPLE SYRUP - PRODUCTION, MEASURED IN GALLONS  -  <b>CV (%)</b>","MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP  -  <b>VALUE</b>","MAPLE SYRUP - YIELD, MEASURED IN GALLONS / TAP  -  <b>CV (%)</b>"
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","8,325,000","","77,892,000","","1,912,000","","0.23",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","8,178,000","","49,791,000","","1,517,000","","0.185",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","51,965,000","","1,678,000","","0.208",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","39,763,000","","1,337,000","","0.176",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","44,160,000","","1,557,000","","0.216",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","36,713,000","","1,300,000","","0.187",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","40,500,000","","1,475,000","","0.208",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","32,387,000","","1,137,000","","0.165",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","35,916,000","","1,307,000","","",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","33,685,000","","1,216,000","","",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","33,386,000","","1,194,000","","",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","35,216,000","","1,298,000","","",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","42,169,000","","1,567,000","","",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","28,719,000","","1,096,000","","",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","32,248,000","","1,324,000","","",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","23,493,000","","1,007,000","","",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MAPLE SYRUP","TOTAL","NOT SPECIFIED","","","","","39,125,000","","1,641,000","","",""
