"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2013",,,,,,,"208","7","123","7","140",,"44","7",,,,,,,,,,,,,"19",",7,0323,","8.0",",7,1128,","2.73",",7,0524,",,,,,,,,,,,,,,,,,,,,,,,,,,,"65.00",",7","106.5",",7",,,,,,,,,,,,,,,,,,
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2014",,,,,,,"191","7","114","7","142",,"43","7",,,,,,,,,,,,,"33",",7,0313,","16.0",",7,0313,","2.40",",7,0416,",,,,,,,,,,,,,,,,,,,,,,,,,,,"60.29",",7","127.2",",7",,,,,,,,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2010",,,"597",,"597","0","172","0","97","0","85",,"19","0","11","0","166","0","56","0","123","0","27","0","-10","0,0131,","13",",0,0225,","11.0",",0,0224,","3.15",",0,1001,","99","0,0708,","30","0,1010","25","0,1019","21","0,1103","16","0,1125","16","0,1125","31","0,0514","28","0,0513","18","0,0328","18","0,0328","12","0,0327","7103",,"7103","0","43.28",",0","49.6",",0","46.7","0","57.6","0","35.8","0",,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2011",,,"553",,"553","7","170","7","109","7",,,,,"29","7","157","7","52","7","127","7","13","7","-24","7,0124,",,,,,"3.67",",7,0829,","98","7,0722,","30","7,1006","26","7,1028","21","7,1105","20","7,1106","16","7,1122","27","7,0423","27","7,0423","23","7,0409","19","7,0408","15","7,0329","7894",,"7894","7","59.15",",7",,,"46.2","7","57.7","7","34.7","7",,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2012",,,"591",,"591","7","160","7","94","7",,,,,"14","7","154","7","37","7","134","7","18","7","-17","7,0116,",,,,,"1.85",",7,0724,","97","7,0718,+","26","7,1013","26","7,1013","16","7,1107","16","7,1107","16","7,1107","32","7,0512","28","7,0501","23","7,0404","19","7,0326","-2","7,0307","6579",,"6579","7","37.63",",7",,,"47.8","7","59.3","7","36.3","7",,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2013",,,,,,,"168","7","76","7",,,,,,,,,,,,,,,,,,,,,"1.31",",7,0705,",,,,,,,,,,,,,,,,,,,,,,,,,,,"32.73",",7",,,,,,,,,,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2014",,,"302",,"302","7","159","7","77","7",,,,,"44","7","161","7","74","7","118","7","2","7","-18","7,0104,",,,,,"1.45",",7,0626,","91","7,0703,","30","7,1013","28","7,1114","24","7,1116","19","7,1120","10","7,1129","32","7,0519","27","7,0421","21","7,0418","19","7,0417","6","7,0328","8340",,"8340","7","30.87",",7",,,"43.6","7","54.2","7","32.9","7",,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2015",,,"436",,"436","7",,,,,"93",,,,"41","7","154","7","63","7","131","7","3","7","-22","7,0224,","21",",7,0222,",,,,,"93","7,0730,","32","7,1005","25","7,1018","21","7,1019","19","7,1118",,,"28","7,0424","28","7,0424","23","7,0415","19","7,0403","16","7,0402","8094",,"8094","7",,,,,"44.4","7","56.1","7","32.7","7",,,,,,,,,,,,
"USC00438428","TOWNSHEND LAKE, VT US","43.05","-72.7","155.4","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1VTWS0019","WATERBURY 3.0 NW, VT US","44.3606","-72.8077","139.6","2010",,,,,,,"189","N","120","N",,,,,,,,,,,,,,,,,,,,,"3.05",",N,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"53.01",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0019","WATERBURY 3.0 NW, VT US","44.3606","-72.8077","139.6","2011",,,,,,,"200","N","111","N",,,,,,,,,,,,,,,,,,,,,"4.22",",N,0829,",,,,,,,,,,,,,,,,,,,,,,,,,,,"63.36",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0019","WATERBURY 3.0 NW, VT US","44.3606","-72.8077","139.6","2013",,,,,,,"206","N","115","N",,,,,,,,,,,,,,,,,,,,,"2.24",",N,0729,",,,,,,,,,,,,,,,,,,,,,,,,,,,"55.79",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0019","WATERBURY 3.0 NW, VT US","44.3606","-72.8077","139.6","2014",,,,,,,"192","N","108","N",,,,,,,,,,,,,,,,,,,,,"1.72",",N,0416,",,,,,,,,,,,,,,,,,,,,,,,,,,,"46.44",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0017","MARSHFIELD 4.5 SW, VT US","44.309641","-72.424201","352.7","2010",,,,,,,"166","N","97","N",,,,,,,,,,,,,,,,,,,,,"2.96",",N,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"45.14",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0017","MARSHFIELD 4.5 SW, VT US","44.309641","-72.424201","352.7","2011",,,,,,,"171","N","98","N","132",,"26","N",,,,,,,,,,,,,"26",",N,0206,","11.1",",N,0307,","4.69",",N,0527,",,,,,,,,,,,,,,,,,,,,,,,,,,,"54.58",",N","109.1",",N",,,,,,,,,,,,,,,,,,
"US1VTAD0002","LINCOLN 2.2 NW, VT US","44.13254","-73.02003","407.8","2011",,,,,,,"192","N","119","N",,,,,,,,,,,,,,,,,,,,,"3.92",",N,0829,",,,,,,,,,,,,,,,,,,,,,,,,,,,"59.19",",N",,,,,,,,,,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2010",,,"521",,"521","U",,,,,,,,,"8","U","161","U","44","U","143","U","16","U","-12","U,0110,",,,,,,,"97","U,0707,","32","U,1003","27","U,1010","21","U,1102","20","U,1103","13","U,1128","27","U,0513","27","U,0513","24","U,0414","20","U,0328","12","U,0327","6846",,"6846","U",,,,,"47.6","U","59.3","U","36.0","U",,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2011",,,"459",,"459","U",,,,,,,,,"19","U","154","U","38","U","133","U","6","U","-27","U,0124,",,,,,,,"95","U,0722,","32","U,1005","23","U,1028","23","U,1028","19","U,1105","16","U,1122","32","U,0510","23","U,0422","23","U,0422","20","U,0407","13","U,0327","7377",,"7377","U",,,,,"47.6","U","59.5","U","35.7","U",,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2012",,,"432",,"432","U",,,,,,,,,"3","U","143","U","18","U","147","U","9","U","-11","U,0116,",,,,,,,"94","U,0804,+","25","U,1012","25","U,1012","22","U,1013","19","U,1106","11","U,1225","32","U,0512","23","U,0430","23","U,0430","8","U,0306","8","U,0306","5829",,"5829","U",,,,,"49.2","U","61.1","U","37.3","U",,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2013",,,"472",,"472","U",,,,,,,,,"9","U","174","U","43","U","131","U","10","U","-15","U,0103,",,,,,,,"94","U,0719,","31","U,0917","28","U,1025","22","U,1028","17","U,1029","16","U,1104","32","U,0527","28","U,0515","24","U,0422","14","U,0322","14","U,0322","6872",,"6872","U",,,,,"46.3","U","58.0","U","34.7","U",,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2014",,,"335",,"335","U",,,,,,,,,"27","U","159","U","51","U","136","U","3","U","-22","U,0104,+",,,,,,,"92","U,0703,","32","U,0919","27","U,1013","22","U,1103","18","U,1115","10","U,1128","32","U,0519","28","U,0507","24","U,0420","19","U,0417","6","U,0327","7360",,"7360","U",,,,,"45.4","U","57.3","U","33.6","U",,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2015",,,"453",,"453","U",,,,,,,,,"35","U","150","U","53","U","145","U","12","U","-21","U,0224,+",,,,,,,"93","U,0818,+","30","U,1005","27","U,1017","22","U,1018","20","U,1019","16","U,1123","28","U,0523","28","U,0523","24","U,0416","18","U,0402","16","U,0401","7409",,"7409","U",,,,,"46.2","U","59.4","U","33.0","U",,,,,,,,,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7166",,"7166","0",,,,,,,,,,,,,,,,,,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2010",,,"350",,"350","0","154","0","106","0","110",,"30","0","16","0","175","0","67","0","104","0","2","0","-13","0,0131,+","27",",0,0225,","14.2",",0,1207,","3.91",",0,1001,","92","0,0709,","30","0,1003","26","0,1019","19","0,1103","19","0,1103","13","0,1125","32","0,0517","27","0,0514","24","0,0511","10","0,0328","10","0,0328","7767",,"7767","0","56.63",",0","137.2",",0","44.1","0","53.7","0","34.5","0",,,,,,,,,,,,
"USC00432314","EAST HAVEN, VT US","44.6425","-71.8908","304.8","2010",,,"276",,"276","0","188","0","105","0","102",,"26","0","24","0","196","0","67","0","115","0","6","0","-17","0,0111,+","14",",0,0106,+","7.2",",0,0428,","3.00",",0,1001,","93","0,0708,","28","0,0921","28","0,0921","24","0,1010","18","0,1103","11","0,1125","29","0,0517","24","0,0513","24","0,0513","18","0,0329","6","0,0328","8379",,"8379","0","45.37",",0","71.0",",0","42.8","0","54.4","0","31.1","0",,,,,,,,,,,,
"USC00432314","EAST HAVEN, VT US","44.6425","-71.8908","304.8","2011",,,"217",,"217","7","193","7","104","7","129",,"27","7","45","7","192","7","66","7","118","7","2","7","-33","7,0125,+","36",",7,0311,+","9.0",",7,0307,","2.95",",7,0829,","92","7,0722,","29","7,0917","24","7,1006","24","7,1006","20","7,1029","15","7,1106","32","7,0512","26","7,0509","20","7,0423","20","7,0423","15","7,0409","9225",,"9225","7","53.55",",7","111.7",",7","41.4","7","53.8","7","29.0","7",,,,,,,,,,,,
"USC00432314","EAST HAVEN, VT US","44.6425","-71.8908","304.8","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8073",,"8073","7",,,,,,,,,,,,,,,,,,,,,,
"USC00432314","EAST HAVEN, VT US","44.6425","-71.8908","304.8","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9837",,"9837",,,,,,,,,,,,,,,,,,,,,,,
"US1VTWS0012","CABOT 3.9 ENE, VT US","44.41714","-72.23497","530.4","2010",,,,,,,"222","N","118","N",,,,,,,,,,,,,,,,,,,,,"2.97",",N,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"52.67",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0012","CABOT 3.9 ENE, VT US","44.41714","-72.23497","530.4","2011",,,,,,,"214","N","118","N",,,,,,,,,,,,,,,,,,,,,"4.66",",N,0829,",,,,,,,,,,,,,,,,,,,,,,,,,,,"65.16",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0012","CABOT 3.9 ENE, VT US","44.41714","-72.23497","530.4","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46.82",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0012","CABOT 3.9 ENE, VT US","44.41714","-72.23497","530.4","2014",,,,,,,"201","N","110","N",,,,,,,,,,,,,,,,,,,,,"1.55",",N,0313,",,,,,,,,,,,,,,,,,,,,,,,,,,,"46.50",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0012","CABOT 3.9 ENE, VT US","44.41714","-72.23497","530.4","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.06",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0010","NORTHFIELD 1.5 N, VT US","44.169862","-72.652033","204.8","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58.49",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0010","NORTHFIELD 1.5 N, VT US","44.169862","-72.652033","204.8","2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40.67",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0010","NORTHFIELD 1.5 N, VT US","44.169862","-72.652033","204.8","2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.74",",N",,,,,,,,,,,,,,,,,,,,
"US1VTWS0010","NORTHFIELD 1.5 N, VT US","44.169862","-72.652033","204.8","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.34",",N",,,,,,,,,,,,,,,,,,,,
"USC00438597","VERGENNES, VT US","44.172","-73.2473","59.7","2015",,,"559",,"559","7","116","7","70","7","71",,"17","7","32","7","138","7","66","7","122","7","6","7","-19","7,0225,+","16",",7,0215,","5.1",",7,0203,","2.10",",7,0531,","94","7,0908,","32","7,1015","21","7,1019","21","7,1019","20","7,1020",,,"26","7,0417","26","7,0417","24","7,0409","18","7,0401","12","7,0330",,,,,"36.95",",7","44.5",",7","45.8","7","56.6","7","35.0","7",,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2010",,,"370",,"370","0","125","0","84","0","87",,"14","0","7","0","173","0","59","0","121","0","6","0","-7","0,0201,+","19",",0,0225,","10.0",",0,0224,","2.86",",0,1001,","92","0,0707,","31","0,1011","26","0,1019","21","0,1103","18","0,1125","13","0,1209","32","0,0518","28","0,0514","20","0,0329","20","0,0329","13","0,0328","7395",,"7395","0","49.65",",0","47.7",",0","45.5","0","56.4","0","34.7","0",,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2012",,,"321",,"321","7","135","7","96","7",,,,,"11","7","168","7","40","7","129","7","5","7","-15","7,0117,",,,,,"2.85",",7,0919,","91","7,0715,","32","7,1009","24","7,1013","24","7,1013","17","7,1107","14","7,1130","31","7,0513","27","7,0501","23","7,0404","19","7,0328","16","7,0308","6562",,"6562","7","42.49",",7",,,"46.6","7","57.9","7","35.3","7",,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2013",,,"342",,"342","7","126","7","98","7",,,,,"18","7","183","7","61","7","120","7","2","7","-17","7,0104,",,,,,"1.85",",7,0810,","90","7,0718,+","32","7,1009","28","7,1026","19","7,1029","19","7,1029","14","7,1121","28","7,0516","28","7,0516","22","7,0423","16","7,0326","16","7,0326","7643",,"7643","7","47.22",",7",,,"44.0","7","55.1","7","32.9","7",,,,,,,,,,,,
"US1VTES0003","LUNENBURG 2.3 NNW, VT US","44.493245","-71.704463","448.7","2015",,,,,,,"181","N","98","N",,,,,,,,,,,,,,,,,,,,,"2.27",",N,0930,",,,,,,,,,,,,,,,,,,,,,,,,,,,"44.86",",N",,,,,,,,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2010",,,"377",,"377","0","170","0","95","0","98",,"23","0","15","0","172","0","74","0","103","0","3","0","-14","0,0110,","19",",0,0103,","7.5",",0,0428,","3.36",",0,0803,","93","0,0709,","29","0,1012","28","0,1019","22","0,1103","20","0,1122","13","0,1125","31","0,0514","26","0,0511","10","0,0328","10","0,0328","10","0,0328","8002",,"8002","0","46.96",",0","65.2",",0","44.0","0","53.1","0","34.9","0",,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2011",,,"285",,"285","7","175","7","111","7","123",,"31","7","30","7","164","7","74","7","113","7","2","7","-28","7,0125,+","44",",7,0308,","19.0",",7,0307,","4.10",",7,0829,","90","7,0722,+","30","7,1007","28","7,1028","23","7,1029","14","7,1122","14","7,1122","31","7,0501","26","7,0423","23","7,0417","19","7,0409","11","7,0328","8703",,"8703","7","57.95",",7","119.6",",7","43.4","7","53.1","7","33.7","7",,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2012",,,"343",,"343","7","173","7","95","7","88",,"25","7","24","7","168","7","61","7","124","7","2","7","-13","7,0116,","15",",7,1230,+","9.6",",7,1228,","3.60",",7,0905,","91","7,0805,","31","7,0928","27","7,1013","21","7,1106","15","7,1107","15","7,1107","30","7,0507","28","7,0501","22","7,0404","20","7,0401","16","7,0328","7450",,"7450","7","40.07",",7","76.0",",7","44.6","7","54.7","7","34.5","7",,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2013",,,"320",,"320","7","182","7","109","7","113",,"28","7","32","7","180","7","79","7","114","7","2","7","-20","7,1218,","18",",7,0107,+","11.2",",7,0320,","3.13",",7,0729,","91","7,0720,","32","7,1009","27","7,1026","20","7,1029","20","7,1029","16","7,1121","32","7,0527","28","7,0427","22","7,0423","20","7,0422","16","7,0326","8242",,"8242","7","49.66",",7","90.9",",7","42.2","7","52.1","7","32.4","7",,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2014",,,"242",,"242","7","170","7","104","7","139",,"35","7","48","7","173","7","92","7","101","7","0","7","-26","7,0123,+","30",",7,0315,+","14.0",",7,0313,","1.85",",7,0528,","88","7,0702,","31","7,0915","28","7,0919","24","7,1114","19","7,1115","16","7,1119","31","7,0508","28","7,0425","23","7,0421","15","7,0418","15","7,0418","9256",,"9256","7","47.72",",7","109.1",",7","40.9","7","51.0","7","30.9","7",,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2015",,,"247",,"247","7",,,,,"101",,,,"51","7","171","7","83","7","108","7","0","7","-25","7,0226,+","23",",7,0308,+",,,,,"89","7,0820,","30","7,0925","23","7,1018","23","7,1018","20","7,1019","15","7,1124","32","7,0523","26","7,0417","24","7,0416","17","7,0409","16","7,0408","9238",,"9238","7","41.92",",7",,,"40.9","7","51.6","7","30.1","7",,,,,,,,,,,,
"USC00435982","N SPRINGFIELD LAKE, VT US","43.3392","-72.5056","170.7","2010",,,"522",,"522","0","98","0","73","0","79",,"10","0","8","0","169","0","54","0","124","0","21","0","-4","0,0201,+","17",",0,0225,","12.0",",0,1227,","2.95",",0,1001,","98","0,0708,","30","0,1011","28","0,1013","22","0,1103","15","0,1126","15","0,1126","29","0,0513","27","0,0511","14","0,0329","14","0,0329","14","0,0329","7079",,"7079","0","45.82",",0","44.6",",0","46.9","0","58.2","0","35.7","0",,,,,,,,,,,,
"USC00435982","N SPRINGFIELD LAKE, VT US","43.3392","-72.5056","170.7","2011",,,,,,,"126","7","99","7",,,,,,,,,,,,,,,,,,,,,"3.97",",7,0829,",,,,,,,,,,,,,,,,,,,,,,,,,,,"55.48",",7",,,,,,,,,,,,,,,,,,,,
"USC00435982","N SPRINGFIELD LAKE, VT US","43.3392","-72.5056","170.7","2012",,,"483",,"483","7","122","7","83","7",,,,,"8","7","164","7","28","7","137","7","12","7","-12","7,0116,",,,,,"1.93",",7,0919,","97","7,0718,","32","7,0925","23","7,1013","23","7,1013","19","7,1106","11","7,1226","32","7,0512","25","7,0430","24","7,0406","20","7,0311","2","7,0307","6464",,"6464","7","36.62",",7",,,"47.9","7","59.4","7","36.4","7",,,,,,,,,,,,
"USC00435982","N SPRINGFIELD LAKE, VT US","43.3392","-72.5056","170.7","2013",,,"495",,"495","7","116","7","73","7",,,,,"12","7","176","7","47","7","127","7","10","7","-15","7,0104,",,,,,"2.57",",7,0829,","94","7,0720,+","32","7,0917","28","7,1025","24","7,1026","19","7,1029","14","7,1121","32","7,0516","28","7,0515","24","7,0422","12","7,0323","12","7,0323","7138",,"7138","7","38.05",",7",,,"45.2","7","56.6","7","33.9","7",,,,,,,,,,,,
