STATION,NAME,LATITUDE,LONGITUDE,COUNTY,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF4,FZF4_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,FZF9,FZF9_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93
USC00430499,"BELLOWS FALLS, VT US",43.13333,-72.45,Windham,82.3,1991,,,552.0,,552.0,0,116.0,0,70.0,0,68.0,,11.0,0,8.0,0,139.0,0,37.0,0,141.0,0,14.0,0,-10.0,"0,0123,",10.0,",0,0115,+",10.0,",0,0112,",2.22,",0,0820,",98.0,"0,0721,",31.0,"0,0930",28.0,"0,1021",23.0,"0,1105",18.0,"0,1127",10.0,"0,1205",28.0,"0,0415",28.0,"0,0415",21.0,"0,0331",20.0,"0,0311",15.0,"0,0301",6454.0,,6454.0,0,36.53,",0",,,38.5,",0",48.3,0,59.3,0,37.2,0,,,,,,,,,,,,,,,,,,
USC00430499,"BELLOWS FALLS, VT US",43.13333,-72.45,Windham,82.3,1992,,,304.0,,304.0,0,129.0,0,65.0,0,35.0,,7.0,0,10.0,0,162.0,0,42.0,0,118.0,0,4.0,0,-8.0,"0,0120,",3.0,",0,1213,",2.0,",0,0216,",2.95,",0,0923,",92.0,"0,0523,",28.0,"0,1001",28.0,"0,1001",24.0,"0,1102",19.0,"0,1109",16.0,"0,1120",32.0,"0,0507",26.0,"0,0417",24.0,"0,0416",20.0,"0,0408",10.0,"0,0406",7018.0,,7018.0,0,34.25,",0",,,16.0,",0",45.3,0,55.9,0,34.8,0,,,,,,,,,,,,,,,,,,
USC00430499,"BELLOWS FALLS, VT US",43.13333,-72.45,Windham,82.3,1993,,,,,,,132.0,0,85.0,0,84.0,,17.0,0,,,,,45.0,0,118.0,0,7.0,0,,,22.0,",0,0315,+",17.0,",0,0314,",1.68,",0,1129,",95.0,"0,0711,",,,,,,,,,,,,,,,,,,,,,,,,,33.95,",0",,,79.1,",0",,,56.7,0,,,,,,,,,,,,,,,,,,,,
USC00430499,"BELLOWS FALLS, VT US",43.13333,-72.45,Windham,82.3,1994,,,,,,,126.0,0,79.0,0,102.0,,20.0,0,,,,,54.0,0,119.0,0,8.0,0,,,23.0,",0,0128,+",14.5,",0,0118,",1.7,",0,0118,",96.0,"0,0619,+",,,,,,,,,,,,,,,,,,,,,,,,,39.68,",0",,,75.5,",0",,,56.8,0,,,,,,,,,,,,,,,,,,,,
USC00430499,"BELLOWS FALLS, VT US",43.13333,-72.45,Windham,82.3,1995,,,541.0,,541.0,0,136.0,0,70.0,0,,,17.0,0,8.0,0,145.0,0,39.0,0,131.0,0,15.0,0,-9.0,"0,0209,+",,,10.5,",0,0205,",2.07,",0,1022,",100.0,"0,0715,",32.0,"0,0929",27.0,"0,1106",18.0,"0,1110",18.0,"0,1110",16.0,"0,1126",31.0,"0,0426",27.0,"0,0418",24.0,"0,0411",19.0,"0,0407",15.0,"0,0406",6578.0,,6578.0,0,33.39,",0",,,52.0,",0",47.2,0,58.4,0,36.0,0,,,,,,,,,,,,,,,,,,
USC00431786,"DORSET 2 SE, VT US",43.22417,-73.075,Bennington,283.5,1991,,,173.0,,173.0,0,157.0,0,92.0,0,71.0,,17.0,0,23.0,0,180.0,0,53.0,0,124.0,0,0.0,0,-14.0,"0,0123,+",10.0,",0,0113,+",9.2,",0,0112,",1.78,",0,1123,",89.0,"0,0721,+",32.0,"0,0902",27.0,"0,0922",23.0,"0,0930",19.0,"0,1021",15.0,"0,1105",31.0,"0,0520",27.0,"0,0519",21.0,"0,0415",19.0,"0,0414",12.0,"0,0331",,,,,45.96,",0",,,52.8,",0",43.7,0,55.6,0,31.7,0,,,,,,,,,,,,,,,,,,
USC00431786,"DORSET 2 SE, VT US",43.22417,-73.075,Bennington,283.5,1992,,,54.0,,54.0,0,165.0,0,82.0,0,51.0,,12.0,0,26.0,0,197.0,0,62.0,0,91.0,0,0.0,0,-14.0,"0,0119,",6.0,",0,1213,",3.6,",0,1212,",2.45,",0,0601,",85.0,"0,0828,",32.0,"0,0913",26.0,"0,0924",23.0,"0,1001",20.0,"0,1006",15.0,"0,1102",32.0,"0,0616",28.0,"0,0525",24.0,"0,0507",17.0,"0,0416",14.0,"0,0415",8598.0,,8598.0,0,43.02,",0",,,34.0,",0",40.5,0,51.9,0,29.2,0,,,,,,,,,,,,,,,,,,
USC00431786,"DORSET 2 SE, VT US",43.22417,-73.075,Bennington,283.5,1993,,,147.0,,147.0,0,171.0,0,103.0,0,96.0,,25.0,0,38.0,0,190.0,0,67.0,0,106.0,0,0.0,0,-27.0,"0,0207,",27.0,",0,0315,+",16.0,",0,0314,",1.15,",0,0825,",89.0,"0,0707,",27.0,"0,0920",27.0,"0,0920",24.0,"0,1001",17.0,"0,1011",16.0,"0,1014",32.0,"0,0605",25.0,"0,0429",23.0,"0,0428",16.0,"0,0405",16.0,"0,0405",8768.0,,8768.0,0,45.04,",0",,,90.9,",0",41.2,0,53.0,0,29.4,0,,,,,,,,,,,,,,,,,,
USC00431786,"DORSET 2 SE, VT US",43.22417,-73.075,Bennington,283.5,1994,,,202.0,,202.0,0,173.0,0,102.0,0,106.0,,19.0,0,40.0,0,190.0,0,61.0,0,95.0,0,0.0,0,-35.0,"0,0127,",20.0,",0,0118,",11.1,",0,0304,",1.65,",0,0118,",89.0,"0,0621,+",30.0,"0,1001",25.0,"0,1003",23.0,"0,1011",19.0,"0,1112",14.0,"0,1124",30.0,"0,0529",27.0,"0,0528",22.0,"0,0424",20.0,"0,0423",16.0,"0,0322",8926.0,,8926.0,0,48.11,",0",,,74.8,",0",41.4,0,53.5,0,29.4,0,,,,,,,,,,,,,,,,,,
USC00431786,"DORSET 2 SE, VT US",43.22417,-73.075,Bennington,283.5,1995,,,,,,,,,,,93.0,,24.0,0,,,,,,,,,,,,,18.0,",0,0206,",17.0,",0,0205,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,",0",,,,,,,,,,,,,,,,,,,,,,,,
USC00436893,"ROCHESTER, VT US",43.8578,-72.8044,Windsor,253.0,1990,,,261.0,,261.0,0,141.0,0,106.0,0,85.0,,24.0,0,11.0,0,172.0,0,33.0,0,127.0,0,1.0,0,-8.0,"0,0227,+",18.0,",0,0131,+",18.0,",0,0130,",3.2,",0,0807,",91.0,"0,0429,",32.0,"0,1003",28.0,"0,1020",24.0,"0,1027",17.0,"0,1113",12.0,"0,1206",31.0,"0,0513",22.0,"0,0420",22.0,"0,0420",13.0,"0,0330",13.0,"0,0330",,,,,60.8,",0",,,90.5,",0",45.4,0,57.3,0,33.5,0,,,,,,,,,,,,,,,,,,
USC00436893,"ROCHESTER, VT US",43.8578,-72.8044,Windsor,253.0,1991,,,206.0,,206.0,0,115.0,0,83.0,0,72.0,,17.0,0,27.0,0,191.0,0,44.0,0,138.0,0,2.0,0,-11.0,"0,0123,+",8.0,",0,0202,+",8.0,",0,0112,",2.13,",0,0422,",90.0,"0,0721,+",31.0,"0,0922",26.0,"0,0930",23.0,"0,1021",18.0,"0,1106",13.0,"0,1109",32.0,"0,0521",28.0,"0,0519",23.0,"0,0415",15.0,"0,0401",15.0,"0,0401",7292.0,,7292.0,0,43.75,",0",,,45.0,",0",44.7,0,57.3,0,32.1,0,,,,,,,,,,,,,,,,,,
USC00436893,"ROCHESTER, VT US",43.8578,-72.8044,Windsor,253.0,1992,,,94.0,,94.0,0,121.0,0,79.0,0,,,18.0,0,29.0,0,187.0,0,50.0,0,100.0,0,0.0,0,-14.0,"0,0213,+",,,8.0,",0,0216,",2.05,",0,0601,",89.0,"0,0524,+",29.0,"0,0924",28.0,"0,1002",24.0,"0,1006",18.0,"0,1102",14.0,"0,1108",30.0,"0,0526",26.0,"0,0509",19.0,"0,0417",19.0,"0,0417",16.0,"0,0415",8246.0,,8246.0,0,42.88,",0",,,42.5,",0",41.6,0,53.3,0,29.7,0,,,,,,,,,,,,,,,,,,
USC00436893,"ROCHESTER, VT US",43.8578,-72.8044,Windsor,253.0,1993,,,208.0,,208.0,0,124.0,0,84.0,0,112.0,,27.0,0,39.0,0,192.0,0,61.0,0,108.0,0,3.0,0,-28.0,"0,0207,",38.0,",0,0314,",20.0,",0,0314,",1.8,",0,0314,",91.0,"0,0708,",27.0,"0,0920",27.0,"0,0920",21.0,"0,1011",19.0,"0,1014",7.0,"0,1125",32.0,"0,0523",26.0,"0,0429",21.0,"0,0408",18.0,"0,0406",9.0,"0,0324",8586.0,,8586.0,0,39.8,",0",,,110.9,",0",42.1,0,54.1,0,30.1,0,,,,,,,,,,,,,,,,,,
USC00436893,"ROCHESTER, VT US",43.8578,-72.8044,Windsor,253.0,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8458.0,,8458.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00435542,"NEWPORT, VT US",44.949,-72.1912,Orleans,240.8,1990,,,325.0,,325.0,0,186.0,0,109.0,0,115.0,,29.0,0,13.0,0,152.0,0,41.0,0,117.0,0,0.0,0,-13.0,"0,0218,",20.0,",0,0204,",13.5,",0,0320,",2.61,",0,1110,",89.0,"0,0729,",32.0,"0,1025",22.0,"0,1027",22.0,"0,1027",18.0,"0,1112",15.0,"0,1113",32.0,"0,0524",28.0,"0,0512",22.0,"0,0418",18.0,"0,0413",13.0,"0,0330",7698.0,,7698.0,0,49.57,",0",,,97.2,",0",45.6,0,55.9,0,35.3,0,,,,,,,,,,,,,,,,,,
USC00435542,"NEWPORT, VT US",44.949,-72.1912,Orleans,240.8,1991,,,,,,,,,,,104.0,,21.0,0,31.0,0,157.0,0,,,,,,,-22.0,"0,0122,",18.0,",0,0201,+",6.5,",0,1207,+",,,,,31.0,"0,0922",28.0,"0,1013",22.0,"0,1029",20.0,"0,1105",10.0,"0,1109",28.0,"0,0519",28.0,"0,0519",21.0,"0,0414",14.0,"0,0331",14.0,"0,0331",6922.0,,6922.0,,,,,,72.8,",0",,,,,33.5,0,,,,,,,,,,,,,,,,,,
USC00435542,"NEWPORT, VT US",44.949,-72.1912,Orleans,240.8,1992,,,186.0,,186.0,0,159.0,0,80.0,0,,,22.0,0,44.0,0,181.0,0,58.0,0,108.0,0,0.0,0,-19.0,"0,0302,",,,8.2,",0,0411,",1.12,",0,0922,",88.0,"0,0826,",27.0,"0,0924",27.0,"0,0924",24.0,"0,1020",14.0,"0,1102",14.0,"0,1102",32.0,"0,0526",25.0,"0,0507",23.0,"0,0427",16.0,"0,0416",16.0,"0,0416",,,,,32.1,",0",,,66.0,",0",41.9,0,53.1,0,30.7,0,,,,,,,,,,,,,,,,,,
USC00435542,"NEWPORT, VT US",44.949,-72.1912,Orleans,240.8,1993,,,274.0,,274.0,0,191.0,0,111.0,0,125.0,,26.0,0,45.0,0,181.0,0,66.0,0,110.0,0,2.0,0,-38.0,"0,0207,",32.0,",0,0314,",14.0,",0,0314,",1.69,",0,0727,",92.0,"0,0706,",30.0,"0,0920",26.0,"0,0930",23.0,"0,1001",19.0,"0,1011",16.0,"0,1113",30.0,"0,0518",28.0,"0,0514",23.0,"0,0428",18.0,"0,0406",4.0,"0,0323",8322.0,,8322.0,0,36.44,",0",,,95.5,",0",41.8,0,53.7,0,30.0,0,,,,,,,,,,,,,,,,,,
USC00435542,"NEWPORT, VT US",44.949,-72.1912,Orleans,240.8,1994,,,448.0,,448.0,0,161.0,0,90.0,0,122.0,,27.0,0,49.0,0,158.0,0,69.0,0,117.0,0,5.0,0,-37.0,"0,0127,",37.0,",0,0304,",16.0,",0,0303,+",1.53,",0,0702,",95.0,"0,0618,",25.0,"0,1012",25.0,"0,1012",24.0,"0,1015",19.0,"0,1117",13.0,"0,1123",30.0,"0,0504",28.0,"0,0503",23.0,"0,0423",15.0,"0,0408",15.0,"0,0408",8451.0,,8451.0,0,38.79,",0",,,105.7,",0",42.7,0,53.6,0,31.8,0,,,,,,,,,,,,,,,,,,
USC00435542,"NEWPORT, VT US",44.949,-72.1912,Orleans,240.8,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7249.0,,7249.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00435740,"NORTHFIELD 3 SSE, VT US",44.1,-72.61667,Orange,429.8,1990,,,156.0,,156.0,0,169.0,0,92.0,0,118.0,,22.0,0,16.0,0,163.0,0,54.0,0,106.0,0,0.0,0,-12.0,"0,0226,+",20.0,",0,0321,",14.0,",0,0321,",2.53,",0,1111,",88.0,"0,0428,",32.0,"0,0918",25.0,"0,1020",21.0,"0,1027",18.0,"0,1109",15.0,"0,1112",30.0,"0,0524",27.0,"0,0503",22.0,"0,0419",19.0,"0,0418",4.0,"0,0329",,,,,54.61,",0",,,90.1,",0",43.6,0,53.9,0,33.3,0,,,,,,,,,,,,,,,,,,
USC00435740,"NORTHFIELD 3 SSE, VT US",44.1,-72.61667,Orange,429.8,1991,,,168.0,,168.0,0,143.0,0,82.0,0,127.0,,22.0,0,28.0,0,166.0,0,64.0,0,110.0,0,0.0,0,-14.0,"0,0123,",13.0,",0,0202,+",7.4,",0,0112,",1.89,",0,0810,",89.0,"0,0720,",32.0,"0,0913",28.0,"0,0922",24.0,"0,0930",16.0,"0,1105",16.0,"0,1105",31.0,"0,0520",26.0,"0,0519",21.0,"0,0414",20.0,"0,0401",10.0,"0,0331",7733.0,,7733.0,0,39.76,",0",,,59.6,",0",43.1,0,53.6,0,32.6,0,,,,,,,,,,,,,,,,,,
USC00435740,"NORTHFIELD 3 SSE, VT US",44.1,-72.61667,Orange,429.8,1992,,,57.0,,57.0,0,145.0,0,82.0,0,132.0,,18.0,0,31.0,0,201.0,0,74.0,0,77.0,0,0.0,0,-18.0,"0,0210,",11.0,",0,0303,+",5.5,",0,0417,",1.52,",0,0801,",84.0,"0,0523,",25.0,"0,0924",25.0,"0,0924",24.0,"0,1005",20.0,"0,1031",14.0,"0,1102",31.0,"0,0526",26.0,"0,0525",24.0,"0,0427",17.0,"0,0417",16.0,"0,0416",8948.0,,8948.0,0,36.26,",0",,,50.0,",0",39.3,0,49.6,0,29.0,0,,,,,,,,,,,,,,,,,,
USC00435740,"NORTHFIELD 3 SSE, VT US",44.1,-72.61667,Orange,429.8,1993,,,142.0,,142.0,0,160.0,0,91.0,0,133.0,,29.0,0,44.0,0,192.0,0,74.0,0,87.0,0,0.0,0,-29.0,"0,0207,",38.0,",0,0314,",15.7,",0,0314,",1.55,",0,0314,",87.0,"0,0708,+",32.0,"0,0912",27.0,"0,0920",23.0,"0,0930",17.0,"0,1011",16.0,"0,1014",32.0,"0,0605",27.0,"0,0514",23.0,"0,0408",20.0,"0,0406",13.0,"0,0324",9412.0,,9412.0,0,36.65,",0",,,111.5,",0",39.8,0,50.4,0,29.2,0,,,,,,,,,,,,,,,,,,
USC00433341,"GILMAN, VT US",44.4112,-71.7186,Essex,256.0,1990,,,,,,,166.0,0,98.0,0,,,23.0,0,,,,,,,,,,,,,,,6.5,",0,0215,",1.68,",0,0723,",,,,,,,,,,,,,,,,,,,,,,,,,,,44.65,",0",,,74.4,",0",,,,,,,,,,,,,,,,,,,,,,,,
USC00433341,"GILMAN, VT US",44.4112,-71.7186,Essex,256.0,1991,,,,,,,139.0,0,80.0,0,,,23.0,0,,,,,,,,,,,,,,,6.5,",0,0111,",3.26,",0,1006,",,,,,,,,,,,,,,,,,,,,,,,,,,,35.28,",0",,,65.7,",0",,,,,,,,,,,,,,,,,,,,,,,,
USC00436995,"RUTLAND, VT US",43.6253,-72.9781,Rutland,189.0,1990,,,348.0,,348.0,0,143.0,0,95.0,0,76.0,,25.0,0,8.0,0,163.0,0,28.0,0,135.0,0,2.0,0,-13.0,"0,0226,",11.0,",0,0204,",6.0,",0,0204,+",2.21,",0,1024,",92.0,"0,0428,",27.0,"0,0918",27.0,"0,0918",24.0,"0,1027",20.0,"0,1030",16.0,"0,1120",29.0,"0,0531",28.0,"0,0512",19.0,"0,0419",19.0,"0,0419",14.0,"0,0329",7431.0,,7431.0,0,47.21,",0",,,62.9,",0",47.0,0,58.9,0,35.0,0,,,,,,,,,,,,,,,,,,
USC00436995,"RUTLAND, VT US",43.6253,-72.9781,Rutland,189.0,1991,,,386.0,,386.0,0,135.0,0,78.0,0,75.0,,19.0,0,15.0,0,154.0,0,35.0,0,146.0,0,6.0,0,-10.0,"0,0122,",8.0,",0,0114,+",6.0,",0,0112,",1.56,",0,0925,",93.0,"0,0720,",30.0,"0,0922",26.0,"0,0930",23.0,"0,1021",18.0,"0,1105",13.0,"0,1109",29.0,"0,0519",26.0,"0,0419",21.0,"0,0414",14.0,"0,0331",14.0,"0,0331",6632.0,,6632.0,0,35.61,",0",,,39.5,",0",47.1,0,58.8,0,35.5,0,,,,,,,,,,,,,,,,,,
USC00436995,"RUTLAND, VT US",43.6253,-72.9781,Rutland,189.0,1992,,,195.0,,195.0,0,148.0,0,76.0,0,84.0,,25.0,0,19.0,0,166.0,0,43.0,0,118.0,0,0.0,0,-15.0,"0,0210,",5.0,",0,0215,",4.0,",0,0328,",1.59,",0,0531,",88.0,"0,0523,+",29.0,"0,0924",27.0,"0,1001",23.0,"0,1006",17.0,"0,1102",15.0,"0,1108",29.0,"0,0525",27.0,"0,0507",19.0,"0,0416",19.0,"0,0416",15.0,"0,0414",7337.0,,7337.0,0,35.17,",0",,,47.5,",0",44.4,0,55.3,0,33.4,0,,,,,,,,,,,,,,,,,,
USC00436995,"RUTLAND, VT US",43.6253,-72.9781,Rutland,189.0,1993,,,384.0,,384.0,0,150.0,0,85.0,0,104.0,,32.0,0,29.0,0,166.0,0,53.0,0,121.0,0,5.0,0,-26.0,"0,0207,",22.0,",0,0314,",8.0,",0,0314,",1.03,",0,0901,",93.0,"0,0707,",28.0,"0,0920",28.0,"0,0920",20.0,"0,1011",20.0,"0,1011",7.0,"0,1125",26.0,"0,0428",26.0,"0,0428",24.0,"0,0424",20.0,"0,0405",11.0,"0,0323",7643.0,,7643.0,0,33.54,",0",,,78.8,",0",44.8,0,56.0,0,33.6,0,,,,,,,,,,,,,,,,,,
USC00436995,"RUTLAND, VT US",43.6253,-72.9781,Rutland,189.0,1994,,,437.0,,437.0,0,125.0,0,76.0,0,109.0,,25.0,0,35.0,0,162.0,0,54.0,0,118.0,0,5.0,0,-36.0,"0,0127,",32.0,",0,0119,+",10.0,",0,0117,",1.9,",0,0818,",95.0,"0,0618,",30.0,"0,1003",28.0,"0,1011",24.0,"0,1012",18.0,"0,1117",16.0,"0,1125",30.0,"0,0528",27.0,"0,0514",23.0,"0,0423",19.0,"0,0408",11.0,"0,0318",7910.0,,7910.0,0,40.73,",0",,,82.5,",0",44.8,0,56.2,0,33.3,0,,,,,,,,,,,,,,,,,,
