"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00434261","JEFFERSONVILLE, VT US","44.5843","-72.787","354.5","2010",,,,,,,"196","0","115","0","126",,"52","0",,,,,,,,,,,,,"30",",0,0224,","10.0",",0,0224,+","4.34",",0,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"65.60",",0",,,"151.0",",0",,,,,,,,,,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2007",,,"457",,"457","0","131","0","88","0",,,,,"37","0","165","0","64","0","130","0","21","0","-24","0,0308,+",,,,,"2.78",",0,0712,","99","0,0628,","32","0,1017","26","0,1029","22","0,1109","18","0,1110","12","0,1118","32","0,0522","28","0,0503","22","0,0417","18","0,0407","-3","0,0322",,,,,"45.55",",0",,,,,"43.9","0","56.5","0","31.3","0",,,,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2008",,,"439",,"439","0","162","0","110","0","113",,"30","0","29","0","180","0","56","0","139","0","12","0","-20","0,0229,","27",",0,0302,","10.0",",0,0207,","1.82",",0,0721,","99","0,0611,","30","0,1007","28","0,1008","22","0,1019","20","0,1024","12","0,1119","30","0,0503","24","0,0502","24","0,0502","18","0,0404","10","0,0331","7549",,"7549","0","51.37",",0",,,"100.3",",0","44.9","0","57.3","0","32.5","0",,,,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2009",,,"398",,"398","0","157","0","95","0","98",,"23","0","33","0","171","0","59","0","125","0","8","0","-28","0,0117,","23",",0,0129,","12.0",",0,0129,","1.58",",0,1115,","98","0,0818,+","30","0,0921","24","0,1016","24","0,1016","20","0,1017","16","0,1209","32","0,0526","26","0,0421","24","0,0416","16","0,0326","16","0,0326","7983",,"7983","0","40.00",",0",,,"67.9",",0","44.2","0","56.5","0","31.9","0",,,,,,,,,,,,,,
"USC00435273","MONTPELIER 2, VT US","44.2553","-72.6006","161.5","2010",,,"597",,"597","0","172","0","97","0","85",,"19","0","11","0","166","0","56","0","123","0","27","0","-10","0,0131,","13",",0,0225,","11.0",",0,0224,","3.15",",0,1001,","99","0,0708,","30","0,1010","25","0,1019","21","0,1103","16","0,1125","16","0,1125","31","0,0514","28","0,0513","18","0,0328","18","0,0328","12","0,0327","7103",,"7103","0","43.28",",0",,,"49.6",",0","46.7","0","57.6","0","35.8","0",,,,,,,,,,,,,,
"US1VTWS0017","MARSHFIELD 4.5 SW, VT US","44.309641","-72.424201","352.7","2010",,,,,,,"166","N","97","N",,,,,,,,,,,,,,,,,,,,,"2.96",",N,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"45.14",",N",,,,,,,,,,,,,,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2005",,,"591",,"591","U",,,,,,,,,"21","U","170","U","48","U","134","U","11","U","-23","U,0128,",,,,,,,"93","U,0626,+","32","U,1020","28","U,1022","23","U,1030","19","U,1112","13","U,1123","32","U,0520","23","U,0513","23","U,0513","20","U,0412","15","U,0326","7272",,"7272","U",,,,,,,"46.6","U","58.9","U","34.4","U",,,,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2006",,,"393",,"393","U",,,,,,,,,"4","U","156","U","27","U","120","U","5","U","-3","U,0227,",,,,,,,"94","U,0802,+","32","U,0930","28","U,1007","24","U,1105","19","U,1122","16","U,1205","32","U,0508","27","U,0430","22","U,0429","19","U,0409","15","U,0321","6683",,"6683","U",,,,,,,"48.0","U","59.1","U","37.0","U",,,,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2007",,,"356",,"356","U",,,,,,,,,"19","U","164","U","55","U","141","U","9","U","-15","U,0309,",,,,,,,"94","U,0825,","31","U,0917","23","U,1029","23","U,1029","20","U,1109","16","U,1118","30","U,0514","28","U,0507","22","U,0411","13","U,0407","13","U,0407","7126",,"7126","U",,,,,,,"45.4","U","57.4","U","33.3","U",,,,,,,,,,,,,,
"USR0000VSWE","SWEEZY VERMONT, VT US","43.3333","-73.0333","203.6","2010",,,"521",,"521","U",,,,,,,,,"8","U","161","U","44","U","143","U","16","U","-12","U,0110,",,,,,,,"97","U,0707,","32","U,1003","27","U,1010","21","U,1102","20","U,1103","13","U,1128","27","U,0513","27","U,0513","24","U,0414","20","U,0328","12","U,0327","6846",,"6846","U",,,,,,,"47.6","U","59.3","U","36.0","U",,,,,,,,,,,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2005",,,,,,,,,,,"113",,"25","0","26","0","161","0",,,,,,,"-24","0,0127,","13",",0,0302,","9.0",",0,1026,",,,,,"31","0,1021","26","0,1022","21","0,1109","20","0,1112","12","0,1122","32","0,0520","25","0,0513","22","0,0422","20","0,0415","11","0,0326","7385",,"7385","0",,,,,"90.4",",0",,,,,"33.5","0",,,,,,,,,,,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2006",,,,,,,,,,,,,"15","0",,,,,,,,,,,,,,,"6.0",",0,0115,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.0",",0",,,,,,,,,,,,,,,,,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2007",,,,,,,,,,,"101",,"23","0",,,,,,,,,,,,,"17",",0,0215,","8.0",",0,0317,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80.2",",0",,,,,,,,,,,,,,,,,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2008",,,"237",,"237","0","163","0","106","0","84",,"24","0","9","0","161","0","50","0","115","0","1","0","-16","0,0229,","13",",0,1222,","6.8",",0,0227,","6.00",",0,0403,","90","0,0611,","30","0,0919","28","0,1007","20","0,1019","20","0,1019","15","0,1118","32","0,0513","28","0,0505","22","0,0501","19","0,0414","4","0,0331",,,,,"61.58",",0",,,"71.2",",0","45.0","0","55.9","0","34.0","0",,,,,,,,,,,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2009",,,"220",,"220","0","153","0","103","0","90",,"20","0","21","0","167","0","60","0","104","0","0","0","-14","0,0115,","13",",0,0201,+","7.8",",0,1229,","2.18",",0,0730,","88","0,0731,","30","0,0919","24","0,1012","24","0,1012","20","0,1017","13","0,1209","32","0,0601","28","0,0526","22","0,0416","14","0,0325","14","0,0325","7625",,"7625","0","52.28",",0",,,"57.8",",0","43.8","0","54.5","0","33.2","0",,,,,,,,,,,,,,
"USC00431705","DANBY FOUR CORNERS, VT US","43.3442","-73.0521","404.2","2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7166",,"7166","0",,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2007",,,,,,,,,,,"136",,"48","0",,,,,,,,,,,,,"39",",0,0215,","24.6",",0,0215,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"187.4",",0",,,,,,,,,,,,,,,,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2008",,,"194",,"194","0","156","0","112","0","125",,"45","0","20","0","176","0","70","0","111","0","2","0","-16","0,0229,","23",",0,1223,+","11.2",",0,0207,","1.60",",0,0801,","92","0,0906,","32","0,0919","24","0,1018","24","0,1018","20","0,1102","10","0,1119","32","0,0529","26","0,0501","23","0,0416","7","0,0331","7","0,0331",,,,,"47.41",",0",,,"157.8",",0","43.1","0","53.7","0","32.5","0",,,,,,,,,,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2009",,,"135",,"135","0","159","0","108","0","104",,"29","0","32","0","180","0","70","0","88","0","0","0","-21","0,0116,","24",",0,0224,","10.0",",0,0129,","2.32",",0,0811,","88","0,0428,","30","0,0926","26","0,1012","23","0,1016","20","0,1017","11","0,1209","32","0,0601","28","0,0430","21","0,0415","17","0,0326","9","0,0325","8360",,"8360","0","51.15",",0",,,"105.2",",0","42.1","0","52.7","0","31.4","0",,,,,,,,,,,,,,
"USC00433769","HANKSVILLE, VT US","44.2379","-72.9655","330.1","2010",,,"350",,"350","0","154","0","106","0","110",,"30","0","16","0","175","0","67","0","104","0","2","0","-13","0,0131,+","27",",0,0225,","14.2",",0,1207,","3.91",",0,1001,","92","0,0709,","30","0,1003","26","0,1019","19","0,1103","19","0,1103","13","0,1125","32","0,0517","27","0,0514","24","0,0511","10","0,0328","10","0,0328","7767",,"7767","0","56.63",",0",,,"137.2",",0","44.1","0","53.7","0","34.5","0",,,,,,,,,,,,,,
"USC00432314","EAST HAVEN, VT US","44.6425","-71.8908","304.8","2008",,,"162",,"162","0","187","0","109","0","134",,"36","0","46","0","210","0","70","0","111","0","3","0","-28","0,0301,","40",",0,0302,","10.1",",0,1222,","2.08",",0,1026,","94","0,0611,","31","0,0911","26","0,0919","23","0,1007","20","0,1018","13","0,1119","29","0,0530","27","0,0528","24","0,0501","20","0,0416","12","0,0403",,,,,"52.41",",0",,,"105.7",",0","40.6","0","53.3","0","28.0","0",,,,,,,,,,,,,,
"USC00432314","EAST HAVEN, VT US","44.6425","-71.8908","304.8","2009",,,"145",,"145","0","183","0","102","0","115",,"20","0","49","0","207","0","75","0","96","0","1","0","-35","0,0117,+","38",",0,0223,","16.0",",0,0223,","2.21",",0,0730,","91","0,0819,","28","0,0920","28","0,0920","21","0,1012","19","0,1016","15","0,1113","29","0,0602","25","0,0526","22","0,0421","20","0,0415","12","0,0326","9383",,"9383","0","45.83",",0",,,"83.3",",0","39.4","0","52.0","0","26.9","0",,,,,,,,,,,,,,
"USC00432314","EAST HAVEN, VT US","44.6425","-71.8908","304.8","2010",,,"276",,"276","0","188","0","105","0","102",,"26","0","24","0","196","0","67","0","115","0","6","0","-17","0,0111,+","14",",0,0106,+","7.2",",0,0428,","3.00",",0,1001,","93","0,0708,","28","0,0921","28","0,0921","24","0,1010","18","0,1103","11","0,1125","29","0,0517","24","0,0513","24","0,0513","18","0,0329","6","0,0328","8379",,"8379","0","45.37",",0",,,"71.0",",0","42.8","0","54.4","0","31.1","0",,,,,,,,,,,,,,
"US1VTWS0012","CABOT 3.9 ENE, VT US","44.41714","-72.23497","530.4","2010",,,,,,,"222","N","118","N",,,,,,,,,,,,,,,,,,,,,"2.97",",N,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"52.67",",N",,,,,,,,,,,,,,,,,,,,,,,,
"USC00435501","NEW HAVEN, VT US","44.07333","-73.10917","121.9","2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2006",,,,,,,"133","0","95","0","48",,"10","0",,,,,,,,,,,,,"11",",0,0226,","10.0",",0,0226,","2.92",",0,0520,",,,,,,,,,,,,,,,,,,,,,,,,,,,"56.49",",0",,,"32.8",",0",,,,,,,,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2007",,,,,,,,,,,"115",,"19","0",,,,,,,,,,,,,"30",",0,0216,+","20.0",",0,0215,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.66",",0",,,"114.4",",0",,,,,,,,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2008",,,"219",,"219","0","139","0","99","0","121",,"27","0","19","0","176","0","61","0","121","0","2","0","-16","0,0301,+","30",",0,1222,","17.5",",0,1222,","2.76",",0,0724,","91","0,0611,+","29","0,1007","28","0,1008","23","0,1019","16","0,1119","16","0,1119","32","0,0529","26","0,0502","23","0,0416","20","0,0404","7","0,0331",,,,,"58.09",",0",,,"121.3",",0","43.7","0","55.3","0","32.1","0",,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2009",,,"198",,"198","0","142","0","102","0","95",,"19","0","28","0","176","0","62","0","106","0","1","0","-23","0,0117,","22",",0,0129,","13.0",",0,0129,","2.58",",0,1025,","90","0,0428,","30","0,1011","27","0,1012","21","0,1017","20","0,1114","16","0,1209","31","0,0527","28","0,0430","24","0,0416","18","0,0326","16","0,0325","8054",,"8054","0","57.67",",0",,,"72.8",",0","43.1","0","54.3","0","32.0","0",,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2010",,,"370",,"370","0","125","0","84","0","87",,"14","0","7","0","173","0","59","0","121","0","6","0","-7","0,0201,+","19",",0,0225,","10.0",",0,0224,","2.86",",0,1001,","92","0,0707,","31","0,1011","26","0,1019","21","0,1103","18","0,1125","13","0,1209","32","0,0518","28","0,0514","20","0,0329","20","0,0329","13","0,0328","7395",,"7395","0","49.65",",0",,,"47.7",",0","45.5","0","56.4","0","34.7","0",,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2005",,,"475",,"475","0","171","0","105","0","128",,"34","0","38","0","160","0","77","0","111","0","3","0","-22","0,0129,+","26",",0,0313,","9.6",",0,0211,","1.96",",0,0901,","91","0,0629,+","28","0,1021","28","0,1021","24","0,1029","20","0,1112","15","0,1119","30","0,0513","26","0,0423","24","0,0422","20","0,0416","11","0,0327","8813",,"8813","0","50.04",",0",,,"109.6",",0","42.7","0","53.1","0","32.4","0",,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2006",,,"307",,"307","0","185","0","104","0","90",,"23","0","19","0","162","0","57","0","98","0","2","0","-8","0,0212,+","13",",0,0110,","3.5",",0,0115,","2.86",",0,0803,","93","0,0619,","29","0,1007","27","0,1022","22","0,1104","19","0,1122","9","0,1205","30","0,0508","28","0,0430","22","0,0410","20","0,0322","11","0,0321","7861",,"7861","0","48.91",",0",,,"52.6",",0","44.4","0","53.7","0","35.0","0",,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2007",,,"254",,"254","0","175","0","106","0","142",,"37","0","48","0","178","0","89","0","107","0","2","0","-22","0,0309,","34",",0,0215,","23.5",",0,0215,","2.33",",0,0215,","91","0,0803,","28","0,1017","28","0,1017","23","0,1109","18","0,1110","16","0,1118","30","0,0507","28","0,0426","18","0,0412","18","0,0412","-5","0,0322","8648",,"8648","0","48.45",",0",,,"161.5",",0","41.0","0","51.2","0","30.8","0",,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2008",,,"242",,"242","0","179","0","110","0","127",,"41","0","33","0","178","0","82","0","102","0","1","0","-18","0,0229,","29",",0,0302,","11.1",",0,1222,","3.42",",0,0803,","93","0,0611,","32","0,0919","28","0,1007","23","0,1019","16","0,1119","16","0,1119","27","0,0503","27","0,0503","23","0,0416","7","0,0331","7","0,0331","8561",,"8561","0","52.78",",0",,,"121.3",",0","42.2","0","52.4","0","31.9","0",,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2009",,,"210",,"210","0","179","0","103","0","108",,"26","0","36","0","181","0","81","0","87","0","1","0","-26","0,0116,","23",",0,0225,+","11.0",",0,0129,","1.88",",0,1115,","90","0,0819,","31","0,0926","28","0,1015","20","0,1016","20","0,1016","11","0,1209","29","0,0526","26","0,0421","24","0,0417","16","0,0326","16","0,0326","8849",,"8849","0","43.81",",0",,,"77.6",",0","41.1","0","51.1","0","31.1","0",,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2010",,,"377",,"377","0","170","0","95","0","98",,"23","0","15","0","172","0","74","0","103","0","3","0","-14","0,0110,","19",",0,0103,","7.5",",0,0428,","3.36",",0,0803,","93","0,0709,","29","0,1012","28","0,1019","22","0,1103","20","0,1122","13","0,1125","31","0,0514","26","0,0511","10","0,0328","10","0,0328","10","0,0328","8002",,"8002","0","46.96",",0",,,"65.2",",0","44.0","0","53.1","0","34.9","0",,,,,,,,,,,,,,
"USC00435982","N SPRINGFIELD LAKE, VT US","43.3392","-72.5056","170.7","2008",,,"338",,"338","0","104","0","87","0","142",,"23","0","11","0","183","0","48","0","137","0","6","0","-13","0,0229,","27",",0,0306,+","12.0",",0,1222,+","2.35",",0,0908,","96","0,0611,","30","0,1007","25","0,1018","22","0,1019","18","0,1117","15","0,1122","25","0,0505","25","0,0505","24","0,0416","9","0,0401","9","0,0401",,,,,"46.46",",0",,,"86.5",",0","44.9","0","57.4","0","32.5","0",,,,,,,,,,,,,,
"USC00435982","N SPRINGFIELD LAKE, VT US","43.3392","-72.5056","170.7","2009",,,"269",,"269","0","105","0","86","0",,,"14","0","30","0","180","0","59","0","121","0","2","0","-18","0,0120,+",,,"12.0",",0,0129,","2.45",",0,0730,","92","0,0820,","31","0,1010","27","0,1011","22","0,1017","20","0,1118","16","0,1213","32","0,0601","27","0,0420","24","0,0414","18","0,0326","15","0,0323","7717",,"7717","0","42.44",",0",,,"62.8",",0","44.2","0","56.3","0","32.1","0",,,,,,,,,,,,,,
"USC00435982","N SPRINGFIELD LAKE, VT US","43.3392","-72.5056","170.7","2010",,,"522",,"522","0","98","0","73","0","79",,"10","0","8","0","169","0","54","0","124","0","21","0","-4","0,0201,+","17",",0,0225,","12.0",",0,1227,","2.95",",0,1001,","98","0,0708,","30","0,1011","28","0,1013","22","0,1103","15","0,1126","15","0,1126","29","0,0513","27","0,0511","14","0,0329","14","0,0329","14","0,0329","7079",,"7079","0","45.82",",0",,,"44.6",",0","46.9","0","58.2","0","35.7","0",,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2005",,,,,,,"169","0","104","0",,,"20","0",,,,,,,,,,,,,,,"9.8",",0,0309,","2.40",",0,1016,",,,,,,,,,,,,,,,,,,,,,,,,,,,"46.11",",0",,,"69.2",",0",,,,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2006",,,,,,,"165","0","90","0",,,"18","0",,,,,,,,,,,,,,,"4.3",",0,1208,","2.50",",0,0821,",,,,,,,,,,,,,,,,,,,,,,,,,,,"37.70",",0",,,"44.2",",0",,,,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2007",,,,,,,"159","0","102","0",,,"29","0",,,,,,,,,,,,,,,"14.5",",0,0215,","1.34",",0,0215,",,,,,,,,,,,,,,,,,,,,,,,,,,,"38.42",",0",,,"109.3",",0",,,,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2008",,,,,,,"151","0","103","0",,,"22","0",,,,,,,,,,,,,,,"9.0",",0,1222,","1.63",",0,0721,",,,,,,,,,,,,,,,,,,,,,,,,,,,"44.62",",0",,,"71.7",",0",,,,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2009",,,,,,,"140","0","94","0",,,,,,,,,,,,,,,,,,,,,"2.23",",0,1130,",,,,,,,,,,,,,,,,,,,,,,,,,,,"36.98",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2010",,,,,,,"178","0","95","0",,,"21","0",,,,,,,,,,,,,,,"12.5",",0,1227,","3.30",",0,1001,",,,,,,,,,,,,,,,,,,,,,,,,,,,"43.96",",0",,,"62.8",",0",,,,,,,,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2005",,,"604",,"604","0","142","0","90","0","117",,"34","0","22","0","156","0","59","0","130","0","10","0","-21","0,0128,","18",",0,0303,+","11.0",",0,0210,","2.50",",0,1008,","93","0,0625,","30","0,1021","28","0,1022","24","0,1030","19","0,1112","10","0,1124","28","0,0513","28","0,0513","24","0,0422","18","0,0327","15","0,0326","7252",,"7252","0","47.65",",0",,,"110.0",",0","46.8","0","58.2","0","35.4","0",,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2006",,,"481",,"481","0","140","0","82","0","47",,"17","0","5","0","144","0","26","0","125","0","7","0","-9","0,0228,","6",",0,0304,+","5.0",",0,0115,","2.06",",0,1202,","95","0,0802,","32","0,0930","28","0,1013","24","0,1022","20","0,1122","16","0,1206","32","0,0507","28","0,0430","20","0,0426","20","0,0426","15","0,0321","6527",,"6527","0","42.33",",0",,,"42.1",",0","48.8","0","59.6","0","37.9","0",,,,,,,,,,,,,,
