"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00430499","BELLOWS FALLS, VT US","43.13333","-72.45","82.3","1995",,,"541",,"541","0","136","0","70","0",,,"17","0","8","0","145","0","39","0","131","0","15","0","-9","0,0209,+",,,"10.5",",0,0205,","2.07",",0,1022,","100","0,0715,","32","0,0929","27","0,1106","18","0,1110","18","0,1110","16","0,1126","31","0,0426","27","0,0418","24","0,0411","19","0,0407","15","0,0406","6578",,"6578","0","33.39",",0",,,"52.0",",0","47.2","0","58.4","0","36.0","0",,,,,,,,,,,,,,,,,,
"USC00431786","DORSET 2 SE, VT US","43.22417","-73.075","283.5","1995",,,,,,,,,,,"93",,"24","0",,,,,,,,,,,,,"18",",0,0206,","17.0",",0,0205,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71.3",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00431786","DORSET 2 SE, VT US","43.22417","-73.075","283.5","1996",,,,,,,,,,,"76",,"21","0",,,,,,,,,,,,,"19",",0,0113,","10.7",",0,0411,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90.9",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00431786","DORSET 2 SE, VT US","43.22417","-73.075","283.5","1997",,,"91",,"91","0","165","0","105","0",,,"29","0","17","0","202","0","70","0","99","0","0","0","-16","0,0102,+",,,"8.1",",0,0419,","1.32",",0,0326,","88","0,0811,","28","0,0922","28","0,0922","23","0,1017","18","0,1026","15","0,1112","28","0,0528","28","0,0528","24","0,0427","20","0,0417","16","0,0416",,,,,"45.13",",0",,,"91.6",",0","40.9","0","52.6","0","29.1","0",,,,,,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","1997",,,,,,,"135","0","98","0","112",,"35","0",,,,,,,,,,,,,"16",",0,0317,+","8.0",",0,0306,","1.77",",0,0619,",,,,,,,,,,,,,,,,,,,,,,,,,,,"42.29",",0",,,"98.8",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","1998",,,,,,,"127","0","94","0","94",,"17","0",,,,,,,,,,,,,"20",",0,0323,","9.0",",0,0124,","2.80",",0,0627,",,,,,,,,,,,,,,,,,,,,,,,,,,,"50.12",",0",,,"58.5",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","1999",,,,,,,"116","0","84","0","98",,"24","0",,,,,,,,,,,,,"26",",0,0308,+","16.0",",0,0307,","5.33",",0,0916,",,,,,,,,,,,,,,,,,,,,,,,,,,,"41.64",",0",,,"69.9",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00436893","ROCHESTER, VT US","43.8578","-72.8044","253.0","2000",,,,,,,,,,,"82",,"26","0",,,,,,,,,,,,,"23",",0,0218,","9.0",",0,0218,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.34",",0",,,"80.4",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7249",,"7249","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","1996",,,"253",,"253","0","190","0","101","0","116",,"27","0","29","0","174","0","58","0","112","0","1","0","-27","0,0107,","18",",0,1208,","19.0",",0,1208,","1.31",",0,1208,","90","0,0807,","30","0,0924","27","0,1004","22","0,1005","16","0,1113","16","0,1113","32","0,0527","28","0,0429","22","0,0413","6","0,0404","6","0,0404",,,,,"42.82",",0",,,"96.7",",0","43.4","0","54.2","0","32.7","0",,,,,,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","1997",,,"212",,"212","0","187","0","111","0","155",,"45","0","27","0","183","0","59","0","112","0","1","0","-28","0,0119,","22",",0,0325,","9.7",",0,0306,","1.80",",0,0214,","91","0,0701,","32","0,1003","27","0,1012","24","0,1022","20","0,1025","15","0,1113","29","0,0527","26","0,0509","23","0,0420","18","0,0415","15","0,0411","7823",,"7823","0","43.18",",0",,,"133.6",",0","42.3","0","54.0","0","30.6","0",,,,,,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","1998",,,"319",,"319","0","177","0","98","0",,,"16","0","19","0","161","0","30","0","134","0","6","0","-25","0,0127,",,,"7.3",",0,0123,","2.10",",0,0927,","92","0,0716,+","31","0,0924","28","0,1004","23","0,1006","13","0,1118","13","0,1118","30","0,0429","23","0,0427","23","0,0427","5","0,0325","5","0,0325","7387",,"7387","0","40.37",",0",,,"62.6",",0","46.3","0","57.9","0","34.8","0",,,,,,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","1999",,,"553",,"553","0","157","0","83","0","110",,,,"24","0","156","0","53","0","132","0","9","0","-32","0,0114,","20",",0,0116,+",,,"3.00",",0,0916,","96","0,0904,","32","0,1004","27","0,1008","23","0,1019","17","0,1112","10","0,1201","31","0,0514","28","0,0428","24","0,0416","19","0,0405","12","0,0328","7384",,"7384","0","36.13",",0",,,,,"46.4","0","57.4","0","35.3","0",,,,,,,,,,,,,,,,,,
"USC00435542","NEWPORT, VT US","44.949","-72.1912","240.8","2000",,,"236",,"236","0","187","0","112","0","121",,"34","0","29","0","144","0","57","0","108","0","1","0","-25","0,0118,","31",",0,0219,+","12.5",",0,0214,","2.06",",0,1217,","90","0,0626,","31","0,0928","25","0,0929","23","0,1023","20","0,1120","11","0,1122","30","0,0520","27","0,0417","19","0,0413","19","0,0413","9","0,0319","7009",,"7009","0","46.73",",0",,,"110.6",",0","43.8","0","54.0","0","33.4","0",,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","1998",,,,,,,"164","0","98","0",,,"12","0",,,,,,,,,,,,,,,"6.5",",0,0115,","3.00",",0,0811,",,,,,,,,,,,,,,,,,,,,,,,,,,,"36.56",",0",,,"34.6",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","1999",,,,,,,"157","0","79","0",,,"16","0",,,,,,,,,,,,,,,"10.0",",0,0307,","2.52",",0,0917,",,,,,,,,,,,,,,,,,,,,,,,,,,,"33.65",",0",,,"57.0",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00433341","GILMAN, VT US","44.4112","-71.7186","256.0","2000",,,,,,,"166","0","84","0",,,"26","0",,,,,,,,,,,,,,,"6.0",",0,0219,","1.92",",0,1218,",,,,,,,,,,,,,,,,,,,,,,,,,,,"35.20",",0",,,"74.5",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","1995",,,"432",,"432","0","129","0","76","0","95",,"27","0","16","0","157","0","57","0","119","0","8","0","-16","0,0207,","12",",0,1221,","6.0",",0,0204,","1.60",",0,0717,","96","0,0714,","32","0,0911","26","0,0929","24","0,1106","14","0,1110","14","0,1110","29","0,0509","27","0,0507","24","0,0425","19","0,0411","10","0,0406","6831",,"6831","0","33.09",",0",,,"58.9",",0","46.1","0","57.2","0","35.1","0",,,,,,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","1996",,,"340",,"340","0","173","0","102","0","75",,"26","0","16","0","169","0","48","0","119","0","0","0","-29","0,0106,","20",",0,0113,+","10.0",",0,1208,","1.89",",0,0716,","89","0,0807,","25","0,1004","25","0,1004","23","0,1005","18","0,1113","15","0,1114","30","0,0526","27","0,0507","21","0,0408","20","0,0331","12","0,0328","7552",,"7552","0","50.35",",0",,,"81.6",",0","45.3","0","55.8","0","34.8","0",,,,,,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","1997",,,"249",,"249","0","151","0","86","0","113",,"35","0","12","0","182","0","47","0","114","0","0","0","-16","0,0119,","12",",0,0323,+","10.0",",0,0306,","1.39",",0,0813,","88","0,0811,+","30","0,0922","27","0,1012","24","0,1018","19","0,1026","14","0,1117","32","0,0528","26","0,0508","23","0,0416","18","0,0415","16","0,0411","7276",,"7276","0","33.67",",0",,,"99.3",",0","44.5","0","55.7","0","33.3","0",,,,,,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","1998",,,"339",,"339","0","138","0","83","0",,,"13","0","7","0","154","0","27","0","135","0","1","0","-17","0,0101,",,,"6.5",",0,0322,","3.06",",0,0811,","90","0,0722,","31","0,0924","28","0,1004","23","0,1106","20","0,1110","16","0,1212","32","0,0430","27","0,0429","23","0,0412","17","0,0325","13","0,0324","6678",,"6678","0","41.45",",0",,,"51.1",",0","48.2","0","59.3","0","37.1","0",,,,,,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","1999",,,"409",,"409","0","120","0","73","0","61",,"21","0","15","0","163","0","44","0","122","0","8","0","-18","0,0102,","13",",0,0114,","9.0",",0,0306,","3.77",",0,0917,","93","0,0607,","27","0,1007","27","0,1007","22","0,1019","17","0,1112","12","0,1201","32","0,0516","28","0,0514","22","0,0425","20","0,0327","-5","0,0310","6559",,"6559","0","38.40",",0",,,"68.1",",0","47.1","0","58.9","0","35.4","0",,,,,,,,,,,,,,,,,,
"USC00436995","RUTLAND, VT US","43.6253","-72.9781","189.0","2000",,,"252",,"252","0","146","0","91","0","72",,"28","0","24","0","155","0","49","0","121","0","0","0","-18","0,0203,","15",",0,0219,","8.0",",0,0409,","3.65",",0,1217,","88","0,0507,","31","0,0927","24","0,0929","24","0,0929","19","0,1120","12","0,1123","31","0,0516","28","0,0503","22","0,0414","0","0,0318","0","0,0318","6853",,"6853","0","45.29",",0",,,"83.7",",0","45.0","0","56.1","0","33.9","0",,,,,,,,,,,,,,,,,,
"USC00431360","CHELSEA, VT US","43.98333","-72.45","243.8","1995",,,"210",,"210","0","127","0","80","0","97",,"22","0","35","0","199","0","70","0","112","0","6","0","-25","0,0208,","18",",0,1222,+","11.0",",0,0205,","2.16",",0,1022,","94","0,0715,+","29","0,0911","27","0,0919","23","0,0929","9","0,1110","9","0,1110","32","0,0523","27","0,0510","21","0,0509","20","0,0507","16","0,0412","8518",,"8518","0","35.74",",0",,,"70.0",",0","41.2","0","54.3","0","28.1","0",,,,,,,,,,,,,,,,,,
"USC00431360","CHELSEA, VT US","43.98333","-72.45","243.8","1996",,,"129",,"129","0","163","0","100","0","115",,"27","0","35","0","205","0","64","0","108","0","0","0","-25","0,0107,","26",",0,0113,","16.0",",0,1208,","2.58",",0,1021,","89","0,0807,","29","0,0924","23","0,1004","23","0,1004","20","0,1005","9","0,1114","30","0,0528","28","0,0526","24","0,0514","20","0,0404","11","0,0329","9031",,"9031","0","50.31",",0",,,"102.0",",0","41.4","0","53.4","0","29.4","0",,,,,,,,,,,,,,,,,,
"USC00431360","CHELSEA, VT US","43.98333","-72.45","243.8","1997",,,"105",,"105","0","144","0","86","0","142",,"30","0","40","0","211","0","62","0","106","0","0","0","-28","0,0120,+","17",",0,0218,+","7.5",",0,1115,","1.85",",0,0619,","87","0,0811,+","27","0,0922","27","0,0922","24","0,1012","18","0,1023","16","0,1026","32","0,0615","28","0,0527","23","0,0506","20","0,0417","15","0,0415","8858",,"8858","0","35.53",",0",,,"86.3",",0","39.9","0","53.3","0","26.5","0",,,,,,,,,,,,,,,,,,
"USC00431360","CHELSEA, VT US","43.98333","-72.45","243.8","1998",,,"200",,"200","0","135","0","81","0",,,"15","0","19","0","183","0","34","0","126","0","1","0","-20","0,0102,",,,"8.3",",0,0124,","2.55",",0,0811,","90","0,0716,","28","0,0924","28","0,0924","22","0,1006","20","0,1110","15","0,1210","32","0,0602","25","0,0430","24","0,0429","18","0,0412","11","0,0327","8208",,"8208","0","40.09",",0",,,"55.2",",0","44.4","0","57.1","0","31.8","0",,,,,,,,,,,,,,,,,,
"USC00431360","CHELSEA, VT US","43.98333","-72.45","243.8","1999",,,,,,,"131","0","83","0",,,"24","0",,,,,"52","0","130","0","6","0",,,,,"12.0",",0,0307,","4.71",",0,0917,","96","0,0801,",,,,,,,,,,,,,,,,,,,,,"8019",,"8019","0","41.35",",0",,,"70.2",",0",,,"56.6","0",,,,,,,,,,,,,,,,,,,,
"USC00433581","GROTON, VT US","44.21611","-72.19972","240.8","1998",,,,,,,,,,,,,"18","0",,,,,,,,,,,,,,,"7.6",",0,0124,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62.8",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00433581","GROTON, VT US","44.21611","-72.19972","240.8","1999",,,,,,,,,,,,,"23","0",,,,,,,,,,,,,,,"12.0",",0,0307,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.1",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","1995",,,,,,,"143","0","74","0","100",,"34","0",,,,,,,,,,,,,"18",",0,1221,","10.0",",0,0205,","2.36",",0,1022,",,,,,,,,,,,,,,,,,,,,,,,,,,,"34.73",",0",,,"74.7",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","1996",,,,,,,"153","0","99","0","81",,,,,,,,,,,,,,,,"27",",0,0113,",,,"2.25",",0,0714,",,,,,,,,,,,,,,,,,,,,,,,,,,,"43.37",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","1997",,,,,,,"149","0","85","0","131",,"34","0",,,,,,,,,,,,,"14",",0,0206,","5.0",",0,1201,+","1.68",",0,0715,",,,,,,,,,,,,,,,,,,,,,,,,,,,"33.02",",0",,,"81.3",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","1998",,,,,,,"135","0","83","0",,,"25","0",,,,,,,,,,,,,,,"7.0",",0,0323,","2.47",",0,0627,",,,,,,,,,,,,,,,,,,,,,,,,,,,"33.91",",0",,,"56.3",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","1999",,,,,,,"128","0","77","0","80",,"25","0",,,,,,,,,,,,,"13",",0,0308,","12.0",",0,0307,","3.53",",0,0917,",,,,,,,,,,,,,,,,,,,,,,,,,,,"33.79",",0",,,"52.3",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00437646","SOUTH NEWBURY, VT US","44.0503","-72.0753","143.3","2000",,,,,,,"130","0","86","0",,,,,,,,,,,,,,,,,,,,,"1.61",",0,0514,",,,,,,,,,,,,,,,,,,,,,,,,,,,"37.34",",0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1995",,,"623",,"623","0","116","0","68","0","87",,"17","0","12","0","147","0","72","0","117","0","9","0","-16","0,0206,","14",",0,1231,+","13.0",",0,0204,","2.94",",0,0804,","98","0,0714,","31","0,1030","28","0,1105","17","0,1109","17","0,1109","14","0,1125","31","0,0507","23","0,0411","23","0,0411","14","0,0406","14","0,0406","6942",,"6942","0","34.87",",0",,,"55.3",",0","46.1","0","54.9","0","37.4","0",,,,,,,,,,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1996",,,"428",,"428","0","136","0","79","0","61",,"12","0","17","0","139","0","62","0","109","0","2","0","-17","0,0106,","15",",0,0116,+","4.0",",0,1126,","2.27",",0,1109,","92","0,0805,","31","0,1005","28","0,1102","21","0,1113","16","0,1114","16","0,1114","31","0,0415","24","0,0406","24","0,0406","19","0,0329","12","0,0328","7607",,"7607","0","42.11",",0",,,"32.4",",0","45.6","0","53.7","0","37.4","0",,,,,,,,,,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1997",,,"407",,"407","0","123","0","74","0","105",,"19","0","15","0","154","0","65","0","108","0","4","0","-11","0,0119,","12",",0,0314,","9.0",",0,0306,","1.54",",0,0813,","92","0,0809,","30","0,1018","26","0,1023","24","0,1112","19","0,1124","16","0,1125","31","0,0423","24","0,0415","24","0,0415","13","0,0409","13","0,0409","7417",,"7417","0","28.96",",0",,,"72.2",",0","45.1","0","54.0","0","36.2","0",,,,,,,,,,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1998",,,"470",,"470","0","120","0","78","0",,,"13","0","8","0","121","0","38","0","126","0","0","0","-13","0,0127,",,,"8.1",",0,0115,","2.51",",0,0108,","89","0,0828,+","32","0,1006","26","0,1116","20","0,1118","20","0,1118","16","0,1218","29","0,0427","28","0,0426","24","0,0404","13","0,0325","13","0,0325","6747",,"6747","0","38.75",",0",,,"55.0",",0","48.4","0","57.0","0","39.7","0",,,,,,,,,,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","1999",,,"743",,"743","0","115","0","60","0",,,"13","0","11","0","132","0","54","0","124","0","19","0","-23","0,0114,",,,"8.0",",0,0109,","2.49",",0,0917,","96","0,0904,+","32","0,1008","27","0,1019","21","0,1111","16","0,1201","16","0,1201","32","0,0425","27","0,0411","24","0,0327","18","0,0312","4","0,0310","6706",,"6706","0","28.80",",0",,,"42.1",",0","48.1","0","57.0","0","39.1","0",,,,,,,,,,,,,,,,,,
"USC00437607","SOUTH HERO, VT US","44.6264","-73.303","33.5","2000",,,"317",,"317","0","145","0","86","0","71",,"21","0","18","0","134","0","66","0","97","0","0","0","-13","0,0122,","14",",0,0217,+","8.1",",0,0214,","1.93",",0,0509,","86","0,0901,+","29","0,0929","27","0,1029","23","0,1118","13","0,1122","13","0,1122","31","0,0426","24","0,0413","24","0,0413","16","0,0319","16","0,0319","7012",,"7012","0","32.82",",0",,,"59.3",",0","44.9","0","53.3","0","36.5","0",,,,,,,,,,,,,,,,,,
"USC00276234","NORTH STRATFORD, NH US","44.68199","-71.58575","289.6","1995",,,"249",,"249","0","174","0","81","0","114",,"36","0","42","0","195","0","79","0","99","0","8","0","-26","0,0111,","31",",0,1231,","8.0",",0,0205,","2.42",",0,0806,","95","0,0621,+","29","0,0911","27","0,0929","24","0,1105","4","0,1110","4","0,1110","32","0,0517","28","0,0509","20","0,0425","20","0,0425","15","0,0411",,,,,"36.47",",0",,,"89.1",",0","40.5","0","52.6","0","28.3","0",,,,,,,,,,,,,,,,,,
"USC00276234","NORTH STRATFORD, NH US","44.68199","-71.58575","289.6","1996",,,,,,,"196","0","107","0","118",,"33","0",,,,,,,,,,,,,"39",",0,0113,","10.0",",0,0411,","1.56",",0,0417,",,,,,,,,,,,,,,,,,,,,,,,"9475",,"9475",,"45.53",",0",,,"97.3",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USC00439190","WEST DOVER, VT US","42.93333","-72.85","527.3","1995",,,,,,,"132","0","83","0",,,"29","0",,,,,,,,,,,,,,,"15.0",",0,0205,","2.81",",0,1022,",,,,,,,,,,,,,,,,,,,,,,,,,,,"47.08",",0",,,"96.0",",0",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1995","9.6","X","669",,"669","0","154","0","75","0","96",,"30","0","15","0","147","0","69","0","122","0","18","0","-13","0,0206,","19",",0,1222,+","16.8",",0,0204,","1.74",",0,0804,","100","0,0714,+","31","0,0929","16","0,1109","16","0,1109","16","0,1109","16","0,1109","31","0,0507","28","0,0425","22","0,0411","19","0,0408","15","0,0406","6975",,"6975","0","32.23",",0",,,"102.7",",0","46.8","0","56.4","0","37.2","0","143282",",X","180","X",,,,,"180","X","34.9","X",,,,,"54.1","X"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.4683","-73.1499","100.6","1996","8.1","X","391",,"391","0","174","0","90","0","84",,"23","0","21","0","153","0","65","0","116","0","0","0","-23","0,0106,","22",",0,0104,","7.7",",0,0103,","1.62",",0,0119,","89","0,0807,","28","0,1004","28","0,1004","17","0,1113","17","0,1113","10","0,1114","32","0,0507","26","0,0406","23","0,0404","14","0,0328","14","0,0328","7740",,"7740","0","41.30",",0",,,"75.8",",0","45.2","0","53.9","0","36.6","0","128769",",X",,,,,,,,,,,,,,,,
