,cluster,YEAR,COUNTY,OPERATIONS WITH TAPS,OPERATIONS WITH SALES,NUMBER OF TAPS,SALES,PRODUCTION,Average Annual Temperature,Temp of Last Freeze <= 16 F (Jan - July),Heating Degree Days,# Days w/ Max Temp <= 32 F,Temp of Last Freeze <= 32 F (Jan - July),Highest Daily Precipitation Total,Total Annual Snowfall,Average Annual Minimum Temperature,# Days w/ Max Temp <= 70 F,Temp of Last Freeze <= 32 F (Aug - Dec),Extreme Min Temp,Temp of Last Freeze <= 16 F (Aug - Dec),Temp of Last Freeze <= 28 F (Jan - July),Temp of Last Freeze <= 24 F (Aug - Dec),# Days w/ Max Temp >= 90 F,Extreme Max Temp,Cooling Degree Days,Total Annual Precipitation,Temp of Last Freeze <= 24 F (Jan - July),Average Annual Maximum Temperature,Temp of Last Freeze <= 20 F (Jan - July),# Days w/ Max Temp <= 32 F,# Days w/ Max Temp <= 0 F,Mean Cooling Degree Days >= 65 F,Temp of Last Freeze <= 20 F (Aug - Dec),Temp of Last Freeze <= 28 F (Aug - Dec)
19,2,1997,CHITTENDEN,106,104.0,151531,2092000.0,48802.5,43.6,15.0,7773.5,63.5,27.5,1.3199999999999998,106.55,33.2,111.0,31.5,-18.5,15.0,27.5,23.0,4.0,91.0,294.0,32.17,19.5,53.95,19.0,172.0,20.0,294.0,20.0,28.0
29,2,1997,FRANKLIN,203,104.0,500106,2092000.0,48802.5,43.2,15.0,7744.0,62.0,30.0,2.57,103.2,32.2,122.0,30.0,-31.0,15.0,23.0,23.0,0.0,88.0,229.0,37.14,23.0,54.2,19.0,179.0,26.0,229.0,19.0,28.0
39,2,1997,LAMOILLE,87,104.0,203652,2092000.0,48802.5,36.90000000000001,15.5,8812.0,112.5,30.5,3.5,316.6,27.9,55.5,30.5,-30.5,13.5,28.0,24.0,0.0,82.5,74.5,89.04,21.0,45.95,18.0,203.0,38.5,74.5,17.5,25.5
37,2,2007,LAMOILLE,62,104.0,356805,2092000.0,95946.0,38.3,14.5,9340.5,110.5,29.0,2.5,197.8,29.85,70.0,31.0,-23.0,15.0,27.0,22.5,1.0,84.0,135.5,53.44,18.5,46.75,18.0,182.5,38.5,135.5,17.5,25.5
44,2,1997,ORANGE,139,104.0,117827,2092000.0,48802.5,39.9,15.0,8858.0,62.0,32.0,1.85,86.3,26.5,106.0,27.0,-28.0,16.0,28.0,24.0,0.0,87.0,105.0,35.53,23.0,53.3,20.0,211.0,40.0,105.0,18.0,27.0
42,2,2007,ORANGE,141,104.0,141965,2092000.0,29637.0,42.65000000000001,10.5,8556.107142857143,74.0,28.5,1.7,86.7,33.25,87.5,30.0,-9.0,10.5,27.0,23.5,0.5,89.5,164.0,39.48,24.0,52.1,19.5,173.5,14.5,164.0,19.5,27.5
41,2,2012,ORANGE,165,164.0,242941,1280000.0,39739.0,54.2,16.0,7490.0,64.0,32.0,2.13,44.4,35.00833333333333,115.0,23.0,-13.0,16.0,27.0,22.0,0.0,89.0,213.0,41.96,23.0,34.7,17.0,166.0,12.0,213.0,16.0,22.0
40,2,2017,ORANGE,104,104.0,224270,2123000.0,72191.0,54.25,10.5,7386.0,60.5,29.5,2.9,43.55,35.20833333333333,112.0,30.5,-23.0,15.5,25.0,20.0,2.0,90.0,233.5,46.41,23.0,32.95,10.5,172.5,25.5,233.5,17.5,26.0
49,2,1997,ORLEANS,136,104.0,241274,2092000.0,48802.5,40.15,15.5,8593.0,82.5,29.5,3.95,226.85,29.85,83.0,31.5,-25.5,15.0,25.5,24.0,0.5,86.5,159.0,62.155,23.5,50.4,17.0,187.5,31.0,159.0,19.5,27.0
47,2,2007,ORLEANS,141,104.0,253562,2092000.0,50525.0,41.0,-5.0,8648.0,89.0,30.0,2.33,161.5,30.8,107.0,28.0,-22.0,16.0,28.0,23.0,2.0,91.0,254.0,48.45,18.0,51.2,18.0,178.0,48.0,254.0,18.0,28.0
54,2,1997,RUTLAND,126,104.0,171675,2092000.0,48802.5,44.5,16.0,7276.0,47.0,32.0,1.3199999999999998,109.2,33.3,114.0,30.0,-16.0,14.0,26.0,24.0,0.0,88.0,249.0,35.455,23.0,55.7,18.0,182.0,12.0,249.0,19.0,27.0
52,2,2007,RUTLAND,108,104.0,139654,2092000.0,37308.0,44.8,14.0,7185.5,57.0,31.0,2.465,107.5,33.4,131.5,30.0,-17.0,16.0,27.5,23.5,5.5,94.0,351.0,46.17,23.0,56.15,14.0,167.0,23.0,351.0,19.0,23.5
59,2,1997,WASHINGTON,99,104.0,145202,2092000.0,48802.5,41.0,16.0,8261.0,62.0,31.0,2.035,118.9,31.0,104.0,31.0,-27.0,14.0,28.0,24.0,0.0,87.0,131.0,44.12,24.0,52.8,16.0,184.0,22.0,131.0,19.0,26.0
57,2,2007,WASHINGTON,72,104.0,107704,2092000.0,23266.0,42.7,16.0,8045.0,71.0,32.0,2.885,171.10000000000005,31.3,119.0,30.0,-21.0,15.0,27.0,24.0,6.0,96.0,282.0,47.24,22.0,54.1,18.0,173.0,37.0,282.0,18.0,27.0
56,2,2012,WASHINGTON,93,92.0,101944,664000.0,16583.0,56.4,3.0,7007.5,53.0,31.0,1.85,45.6,360.0,126.0,31.0,-17.0,14.0,26.0,23.0,6.0,92.0,328.0,42.17,23.0,35.3,20.0,159.0,14.0,328.0,16.0,26.0
64,2,1997,WINDHAM,127,104.0,166216,2092000.0,48802.5,46.30769230769231,12.461538461538465,7134.692307692309,47.46153846153846,29.07692307692308,2.2,150.1,34.63076923076923,130.61538461538458,27.76923076923077,-13.307692307692307,16.0,26.538461538461537,22.153846153846153,11.153846153846152,93.53846153846152,440.5384615384616,51.75,24.0,58.0,13.230769230769232,162.69230769230768,16.2,348.42857142857144,19.15384615384616,27.153846153846153
63,2,2002,WINDHAM,123,104.0,206121,2092000.0,49288.0,45.284615384615385,14.076923076923075,7462.615384615385,56.07692307692307,25.84615384615385,3.5533333333333337,133.0857142857143,34.738461538461536,118.76923076923076,30.461538461538463,-14.384615384615385,16.0,24.92307692307693,22.69230769230769,4.692307692307692,91.92307692307692,389.92307692307685,59.79666666666667,24.0,55.90000000000001,17.53846153846154,161.61538461538458,15.0,101.0,19.69230769230769,27.69230769230769
62,2,2007,WINDHAM,104,104.0,206135,2092000.0,39339.0,44.3,13.0,7231.0,64.0,32.0,3.7,168.0,34.0,114.0,32.0,-12.0,15.0,28.0,24.0,1.0,90.0,274.0,56.29,18.0,54.6,18.0,165.0,11.0,274.0,18.0,24.0
61,2,2012,WINDHAM,98,98.0,217448,1870000.0,54522.0,54.58125,12.1875,6468.0,40.3125,31.0,4.375,53.69375000000001,35.21363636363636,124.5625,32.0,-15.3125,7.125,26.875,24.0,1.8125,91.8125,300.8125,38.52,23.625,38.04375,18.6875,175.25,19.125,300.8125,19.4375,24.75
60,2,2017,WINDHAM,66,66.0,201926,1996000.0,72324.0,51.05,12.5,7071.0,37.5,31.0,2.65,67.85,34.55454545454545,125.5,32.0,-12.5,9.0,25.0,24.0,1.5,91.5,285.5,49.04,23.0,45.45,16.5,174.0,16.0,285.5,18.5,26.0
69,2,1997,WINDSOR,205,104.0,232668,2092000.0,48802.5,43.3,11.5,7667.0,49.0,31.5,2.0,120.1,31.65,109.5,29.5,-16.5,13.0,26.5,22.5,5.5,90.5,228.5,44.42,23.5,54.95,18.5,185.5,14.5,228.5,18.5,26.5
67,2,2007,WINDSOR,174,104.0,301940,2092000.0,55986.0,44.0,14.0,7434.0,64.0,30.5,2.245,114.15,32.0,127.0,30.0,-19.5,14.5,26.5,22.0,8.0,94.0,372.0,45.66,22.0,55.8,14.0,181.0,28.0,372.0,19.0,23.5
