COUNTY,DATE,CDSD,EMXP,PRCP,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HTDD,TAVG,TMAX,TMIN,SNOW
Grand Isle,2007,500.16666666666663,1.59,39.3,500.16666666666663,4.0,129.0,70.0,125.0,4.0,-5.0,94.0,29.0,28.0,23.5,18.5,13.0,31.5,27.5,18.0,14.0,14.0,6761.0,46.1,54.6,38.9,79.6
Grand Isle,2008,480.0,3.01,39.34,480.0,8.0,143.0,69.0,112.0,3.0,-12.0,91.0,29.0,28.0,23.0,20.0,16.0,32.0,27.0,12.0,12.0,12.0,6838.0,46.4,55.1,37.8,68.4
Grand Isle,2009,425.0,1.26,32.98,425.0,19.0,138.0,61.0,108.0,1.0,-17.0,90.0,31.0,27.0,22.0,19.0,15.0,28.0,28.0,19.0,19.0,14.0,7431.0,46.0,54.5,37.4,38.2
Grand Isle,2010,720.0,2.1,41.57,720.0,4.0,129.0,59.0,122.0,14.0,-5.0,96.0,32.0,27.0,19.0,19.0,16.0,32.0,17.0,17.0,17.0,16.0,6524.0,48.6,57.0,40.3,38.7
Grand Isle,2011,762.5,4.02,44.84,762.5,4.0,132.0,57.0,125.0,5.0,-4.0,95.0,30.5,25.0,21.0,15.0,13.5,31.5,21.0,18.5,18.5,11.5,7367.0,49.3,56.3,40.599999999999994,39.150000000000006
Grand Isle,2012,805.0,3.38,32.83,805.0,4.0,135.0,36.0,133.0,12.0,-3.0,98.0,29.0,23.0,23.0,11.0,11.0,31.0,25.0,20.0,20.0,7.0,7109.5,50.0,59.0,40.9,39.6
Grand Isle,2013,615.0,1.88,37.69,615.0,14.0,147.0,57.0,125.0,7.0,-11.0,94.0,32.0,26.0,24.0,18.0,14.0,30.0,24.0,24.0,15.0,15.0,6852.0,46.8,55.5,38.1,49.8
Grand Isle,2014,544.0,1.81,35.57,544.0,21.0,142.0,72.0,123.0,3.0,-16.0,90.0,32.0,28.0,24.0,20.0,13.0,25.0,25.0,19.0,19.0,6.0,7767.0,45.7,54.2,37.2,49.7
Grand Isle,2015,693.0,2.07,37.7,693.0,30.0,129.0,69.0,137.0,6.0,-17.0,94.0,30.0,25.0,24.0,17.0,14.0,27.0,27.0,19.0,19.0,12.0,7756.0,46.7,56.0,37.3,36.3
Grand Isle,2016,808.0,1.78,26.7,808.0,9.0,143.0,45.0,132.0,9.0,-17.0,95.0,32.0,28.0,23.0,19.0,15.0,32.0,28.0,20.0,20.0,16.0,6505.0,48.5,57.6,39.3,28.7
Grand Isle,2017,561.0,1.76,38.72,561.0,7.0,136.0,56.0,130.0,2.0,-12.0,95.0,31.0,27.0,17.0,17.0,16.0,31.0,26.0,11.0,11.0,11.0,6688.0,47.7,56.2,39.2,77.6
Grand Isle,2018,848.0,1.84,35.12,848.0,11.0,155.0,62.0,128.0,15.0,-17.0,98.0,30.0,28.0,16.0,16.0,16.0,29.0,28.0,21.0,20.0,10.0,7123.0,47.0,55.5,38.4,64.3
Grand Isle,2019,596.0,1.62,36.81,596.0,15.0,150.0,68.0,107.0,5.0,-13.0,94.0,26.0,26.0,23.0,19.0,15.0,32.0,25.0,19.0,19.0,16.0,7728.0,45.6,54.4,36.8,53.9
