COUNTY,DATE,CDSD,EMXP,PRCP,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HTDD,TAVG,TMAX,TMIN,SNOW,PSUN
Addison,1994,144  ,1.36 ,42.23 ,144  ,50   ,191  ,85   ,75   ,0    ,-35  ,88   ,30   ,25   ,23   ,20   ,7    ,29   ,25   ,24   ,18   ,8    ,10535 ,38.6 ,49.5 ,27.8 ,132.7 ,95.85
Addison,1994,325.5,1.52,40.745,325.5,42.0,180.5,69.0,102.0,4.5,-36.0,91.0,31.0,25.5,23.0,20.0,11.0,30.5,24.5,24.0,18.5,10.0,8163.0,41.7,53.25,30.15,63.8  ,95.85
Addison,1994,507  ,1.68 ,39.26 ,507  ,34   ,170  ,53   ,129  ,9    ,-37  ,94   ,32   ,26   ,23   ,20   ,15   ,32   ,24   ,24   ,19   ,12   ,8163  ,44.8 ,57   ,32.5 ,87    ,95.85
Addison,1994,325.5,1.52,40.745,325.5,42.0,180.5,69.0,102.0,4.5,-36.0,91.0,31.0,25.5,23.0,20.0,11.0,30.5,24.5,24.0,18.5,10.0,7756  ,41.7,53.25,30.15,71.9  ,95.85
Addison,1995,516.0,2.94 ,47.88 ,516.0,22.0,165.0,75   ,98   ,2    ,-24.0,94   ,30.0,28.0,23.0,20.0,10.0,29.0,22.0,22.0,17.0,15.0,8357  ,45.4,52.6 ,32.8,145.6 ,95.85
Addison,1995,516  ,3.11 ,38.17 ,516  ,22   ,165  ,55   ,132  ,21   ,-24  ,100  ,30   ,28   ,23   ,20   ,10   ,29   ,22   ,22   ,17   ,15   ,7076  ,45.4 ,58.1 ,32.8 ,93.1  ,95.85
Addison,1996,388  ,2.27 ,44.19 ,388  ,25   ,175  ,46   ,133  ,2    ,-32  ,91   ,32   ,26   ,24   ,18   ,12   ,32   ,27   ,23   ,19   ,16   ,7971  ,45.4 ,57   ,33.9 ,80    ,95.85
Addison,1997,375.0,1.07 ,25.63 ,375.0,12.0,170.0,59   ,113  ,13   ,-17.0,93   ,32.0,28.0,24.0,19.0,13.0,27.0,27.0,20.0,20.0,15.0,7038.0,45.6,55.7 ,34.3,60.5  ,95.85
Addison,1997,375  ,1.73 ,34.94 ,375  ,12   ,170  ,46   ,127  ,6    ,-17  ,92   ,32   ,28   ,24   ,19   ,13   ,27   ,27   ,20   ,20   ,15   ,7038  ,45.6 ,56.9 ,34.3 ,105.9 ,95.85
Addison,1998,480.0,3.65 ,60.38 ,480.0,5.0,146.0,28.0,148.0,4.0,-18.0,91.0,31.0,28.0,24.0,17.0,16.0,32.0,27.0,24.0,10.0,10.0,6558.0,48.9,59.9,37.9,69.1  ,95.85
Addison,1998,480  ,2.75 ,45.5  ,480  ,5    ,146  ,28   ,148  ,4    ,-18  ,91   ,31   ,28   ,24   ,17   ,16   ,32   ,27   ,24   ,10   ,10   ,6558  ,48.9 ,59.9 ,37.9 ,55.6  ,95.85
Addison,1999,301  ,3.97 ,42.59 ,301  ,25   ,165  ,64   ,110  ,1    ,-23  ,90   ,28   ,28   ,24   ,19   ,15   ,31   ,26   ,22   ,20   ,15   ,7810  ,43.9 ,54.6 ,33.2 ,87.6  ,95.85
Addison,1999,657  ,3.81 ,36.37 ,657  ,15   ,165  ,42   ,144  ,20   ,-21  ,96   ,28   ,28   ,23   ,20   ,15   ,27   ,27   ,22   ,19   ,16   ,6835  ,47.8 ,60.4 ,35.3 ,54.4  ,95.85
Addison,2000,286.5,2.31 ,54.11 ,286.5,29.0,163.0,58.0,121.5,0.0,-21.5,88.5,32.0,22.0,22.0,19.5,13.5,30.5,28.0,21.5,18.5,6.0,7702  ,44.400000000000006,55.7,33.05,119.8 ,95.85
Addison,2000,322  ,2.01 ,42.96 ,322  ,26   ,165  ,54   ,132  ,0    ,-16  ,88   ,32   ,22   ,22   ,20   ,13   ,31   ,28   ,22   ,18   ,6    ,7014  ,45.2 ,57   ,33.3 ,99.3  ,95.85
Addison,2000,251  ,1.84 ,41.14 ,251  ,32   ,161  ,62   ,111  ,0    ,-27  ,89   ,32   ,22   ,22   ,19   ,14   ,30   ,28   ,21   ,19   ,6    ,7496  ,43.6 ,54.4 ,32.8 ,99.9  ,95.85
Addison,2005,617.0,2.14,43.34,617.0,32.0,157.0,68.0,115.0,6.0,-24.0,92.0,30.0,28.0,21.0,14.0,14.0,32.0,28.0,22.0,19.0,15.0,7966.0,45.4,55.9,35.0,111.9 ,95.85
Addison,2005,617  ,2.14 ,43.34 ,617  ,32   ,157  ,68   ,115  ,6    ,-24  ,92   ,30   ,28   ,21   ,14   ,14   ,32   ,28   ,22   ,19   ,15   ,7966  ,45.4 ,55.9 ,35   ,69.1  ,95.85
Addison,2006,598  ,3.05 ,52.24 ,598  ,4    ,146  ,31   ,136  ,11   ,-10  ,95   ,31   ,25   ,20   ,20   ,16   ,30   ,25   ,24   ,19   ,15   ,6456  ,49.1 ,59.9 ,38.3 ,39.8  ,95.85
Addison,2006,598.0,3.05,52.24,598.0,4.0,146.0,31.0,136.0,11.0,-10.0,95.0,31.0,25.0,20.0,20.0,16.0,30.0,25.0,24.0,19.0,15.0,6839  ,49.1,59.9,38.3,30    ,95.85
Addison,2007,538.5,1.54,41.26,538.5,27.0,158.5,60.0,138.5,11.5,-19.5,94.5,29.5,25.5,23.0,18.5,14.0,32.0,27.5,24.0,13.0,10.0,6991.0,45.65,56.55,34.650000000000006,173.1 ,95.85
Addison,2007,622  ,1.54 ,41.26 ,622  ,24   ,161  ,53   ,148  ,16   ,-19  ,95   ,29   ,24   ,24   ,19   ,16   ,32   ,28   ,24   ,20   ,14   ,6991  ,46.8 ,58.4 ,35.1 ,91.5  ,95.85
Addison,2007,455  ,1.54,41.26,455  ,30   ,156  ,67   ,129  ,7    ,-20  ,94   ,30   ,27   ,22   ,18   ,12   ,32   ,27   ,24   ,6    ,6    ,6991.0,44.5 ,54.7 ,34.2 ,132.3,95.85
Addison,2008,211  ,2.68 ,57.45 ,211  ,22   ,175  ,76   ,104  ,3    ,-13  ,92   ,32   ,25   ,24   ,11   ,11   ,32   ,27   ,23   ,18   ,14   ,6971.0,42.8 ,53.2 ,32.5 ,131.8 ,95.85
Addison,2008,517  ,2.81 ,48.82 ,517  ,12   ,153  ,46   ,146  ,6    ,-11  ,96   ,31   ,28   ,23   ,17   ,16   ,32   ,27   ,23   ,7    ,7    ,6680  ,47.5 ,58.9 ,36.1 ,92    ,95.85
Addison,2008,410  ,2.745,51.12 ,410  ,13   ,153  ,54   ,122  ,4    ,-15  ,93   ,32   ,27   ,23   ,20   ,10   ,30   ,26   ,23   ,10   ,10   ,7262  ,45.9 ,55.9 ,35.8 ,111.9,95.85
Addison,2009,380.0,2.84 ,52.37 ,380.0,18.0,157.5,49.0,140.0,8.0,-19.0,92.0,29.5,26.0,23.0,20.0,12.5,31.0,28.0,21.5,18.0,15.5,7284.0,46.2,57.9,34.75,97.8  ,95.85
Addison,2009,380.0,2.625,42.44,380.0,18.0,157.5,49.0,140.0,8.0,-19.0,92.0,29.5,26.0,23.0,20.0,12.5,31.0,28.0,21.5,18.0,15.5,7284.0,46.2,57.9,34.75,47.0,95.85
Addison,2009,380  ,2.41 ,42.44 ,380  ,17   ,163  ,49   ,140  ,8    ,-20  ,92   ,31   ,24   ,24   ,20   ,14   ,30   ,28   ,24   ,17   ,16   ,7187  ,46.2 ,57.9 ,34.4 ,41.3  ,95.85
Addison,2009,380.0,2.625,39.09 ,380.0,19   ,152  ,49.0,140.0,8.0,-18  ,92.0,28   ,28   ,22   ,20   ,11   ,32   ,28   ,19   ,19   ,15   ,7381  ,46.2,57.9,35.1 ,47    ,95.85
Addison,2010,306  ,4.3  ,60.53 ,306  ,9    ,167  ,64   ,102  ,3    ,-6   ,96   ,32   ,26   ,21   ,16   ,16   ,27   ,27   ,13   ,13   ,13   ,7547  ,44.8 ,54.3 ,35.2 ,115.7 ,93.85
Addison,2010,655  ,4.47 ,46.71 ,655  ,9    ,167  ,49   ,138  ,22   ,-8   ,98   ,31   ,27   ,19   ,19   ,16   ,26   ,26   ,24   ,11   ,11   ,6711  ,48   ,59.7 ,36.3 ,72    ,93.85
Addison,2010,583  ,4.385,44.12 ,583  ,7    ,150  ,59   ,126  ,11   ,-7   ,96   ,32   ,22   ,22   ,19   ,10   ,30   ,28   ,21   ,14   ,14   ,7129.0,47.2 ,56.8 ,37.7 ,48.0,93.85
Addison,2010,306  ,4.3  ,60.53 ,306  ,9    ,167  ,64   ,102  ,3    ,-6   ,96   ,32   ,26   ,21   ,16   ,16   ,27   ,27   ,13   ,13   ,13   ,7547  ,54.3 ,35.2 ,36.3,44.8  ,115.7 
Addison,2010,655  ,4.47 ,46.71 ,655  ,9    ,167  ,49   ,138  ,22   ,-8   ,98   ,31   ,27   ,19   ,19   ,16   ,26   ,26   ,24   ,11   ,11   ,6711  ,59.7 ,36.3 ,36.3,48    ,72    
Addison,2010,583  ,4.385,44.12 ,583  ,7    ,150  ,59   ,126  ,11   ,-7   ,96   ,32   ,22   ,22   ,19   ,10   ,30   ,28   ,21   ,14   ,14   ,7129.0,56.8 ,37.7 ,36.3,47.2  ,93.85
Addison,2011,231  ,3.92,59.19,231  ,22   ,158  ,60   ,111  ,1    ,-18  ,91   ,29   ,25   ,24   ,17   ,11   ,31   ,25   ,23   ,19   ,16   ,8227  ,54.4 ,34.6 ,35.0,44.5  ,93.6
Addison,2011,533.0,3.92 ,59.19 ,533.0,19.0,158.0,54.0,123.0,9.0,-23.0,96.0,31.0,26.0,21.0,17.0,11.0,29.0,25.0,23.0,19.0,16.0,7550.0,55.9,35.4,35.0,46.8,93.6
Addison,2011,575  ,3.92,59.19,575  ,19   ,158  ,45   ,143  ,14   ,-24  ,98   ,31   ,26   ,21   ,19   ,14   ,29   ,22   ,22   ,19   ,15   ,7472  ,59.6 ,35.4 ,35.0,47.5  ,93.6  
Addison,2011,533  ,3.92,59.19,533  ,15   ,143  ,54   ,123  ,9    ,-23  ,96   ,32   ,26   ,17   ,17   ,7    ,29   ,27   ,24   ,20   ,16   ,7550  ,55.9 ,37.6 ,35.0,46.8  ,93.6
Addison,2012,280  ,2.28,39.54,280  ,5    ,146  ,37   ,123  ,2    ,-7   ,90   ,27   ,27   ,24   ,11   ,11   ,31   ,25   ,23   ,18   ,2    ,6887  ,56.9 ,37   ,35.0,47    ,72.6  
Addison,2012,569  ,2.28 ,39.54 ,569  ,3    ,157  ,23   ,158  ,22   ,-7   ,97   ,31   ,20   ,20   ,20   ,15   ,32   ,27   ,22   ,20   ,12   ,6016  ,61.9 ,36.4 ,35.0,49.2  ,41.7  
Addison,2012,542  ,2.28,39.54,542  ,5    ,142  ,36   ,132  ,7    ,-3   ,97   ,24   ,24   ,24   ,16   ,16   ,31   ,26   ,24   ,7    ,7    ,6287  ,58.2 ,38.3 ,35.0,48.2  ,28.2  
Addison,2013,399.0,2.57,50.67 ,399.0,17.0,166.5,62.0,111.0,3.0,-14.5,91.0,30.5,20.5,20.5,16.5,14.0,31.5,26.0,24.0,19.0,15.5,7246.0,54.6,35.25,35.0,44.95,59.699999999999996
Addison,2013,242  ,2.57,43.13,242  ,19   ,166  ,63   ,99   ,0    ,-11  ,87   ,29   ,22   ,22   ,14   ,14   ,32   ,26   ,24   ,18   ,15   ,7226  ,53.7 ,34.8 ,35.0,44.3  ,73.1  
Addison,2013,399.0,2.57,43.13,399.0,17.0,166.5,62.0,111.0,3.0,-14.5,91.0,30.5,20.5,20.5,16.5,14.0,31.5,26.0,24.0,19.0,15.5,7246  ,54.6,35.25,35.0,44.95,59.699999999999996
Addison,2013,556  ,2.57 ,35.59 ,556  ,15   ,167  ,61   ,123  ,6    ,-18  ,95   ,32   ,19   ,19   ,19   ,14   ,31   ,26   ,24   ,20   ,16   ,7323  ,55.5 ,35.7 ,35.0,45.6  ,46.3  
Addison,2014,128  ,1.91,37.04,128  ,46   ,185  ,81   ,91   ,0    ,-24  ,86   ,32   ,26   ,24   ,16   ,16   ,31   ,27   ,24   ,15   ,15   ,8945  ,50.8 ,29.7 ,35.0,40.3  ,87.3
Addison,2014,420  ,1.91 ,37.04 ,420  ,26   ,157  ,74   ,119  ,5    ,-18  ,91   ,31   ,28   ,20   ,20   ,15   ,32   ,28   ,23   ,18   ,6    ,7956  ,54.3 ,34.7 ,35.0,44.5  ,87.3  
Addison,2015,161  ,2.185,35.495000000000005,161  ,49   ,182  ,78   ,109  ,0    ,-27  ,86   ,32   ,21   ,21   ,16   ,16   ,31   ,24   ,24   ,19   ,11   ,9360  ,52.2 ,29.5 ,35.0,40.9  ,44.8
Addison,2015,559  ,2.1  ,36.95 ,559  ,32   ,138  ,66   ,122  ,6    ,-19  ,94   ,32   ,21   ,21   ,20   ,16.0,26   ,26   ,24   ,18   ,12   ,8720.0,56.6 ,35   ,35.0,45.8  ,44.5  
Addison,2015,580  ,2.27 ,34.04 ,580  ,35   ,146  ,64   ,135  ,6    ,-22  ,94   ,32   ,19   ,19   ,19   ,16   ,32   ,27   ,21   ,17   ,16   ,8080  ,56.1 ,34.9 ,35.0,45.5  ,45.1  
Addison,2016,206  ,1.93,29.82,206  ,19   ,186  ,60   ,111  ,0    ,-27  ,87   ,31   ,28   ,24   ,19   ,11   ,32   ,27   ,19   ,19   ,13   ,7900  ,53.8 ,32.4 ,35.0,43.1  ,33.5
Addison,2016,653  ,1.93 ,29.82 ,653  ,9    ,155  ,41   ,134  ,7    ,-17  ,96   ,32   ,25   ,24   ,20   ,10   ,31   ,26   ,24   ,20   ,9    ,6746  ,57.8 ,37.2 ,35.0,47.5  ,33.5  
Addison,2017,169  ,2.27,51.11 ,169  ,28   ,170  ,74   ,104  ,0    ,-22  ,88   ,31   ,27   ,23   ,20   ,11   ,32   ,22   ,22   ,9    ,9    ,8034  ,53.2 ,32.2 ,35.0,42.7  ,101.2 
Addison,2017,458  ,2.27,51.11,458  ,13   ,150  ,55   ,126  ,6    ,-18  ,94   ,32   ,22   ,22   ,16   ,16   ,31   ,28   ,14   ,14   ,14   ,6894  ,56   ,36.3 ,35.0,46.1  ,57.4  
Addison,2018,271  ,1.33,36.91,271  ,29   ,189  ,87   ,108  ,1    ,-24  ,91   ,31   ,28   ,23   ,16   ,16   ,23   ,23   ,23   ,20   ,15   ,8644  ,51.3 ,31   ,35.0,41.2  ,61.45
Addison,2018,715  ,1.08 ,37.62 ,715  ,13   ,151  ,52   ,124  ,15   ,-24  ,97   ,32   ,28   ,23   ,14   ,14   ,32   ,26   ,23   ,20   ,5    ,8158.0,56.4 ,36.8 ,35.0,46.6  ,54.9  
Addison,2018,701  ,1.58 ,36.2  ,701  ,15   ,169  ,64   ,126  ,14   ,-26  ,96   ,27   ,27   ,24   ,13   ,13   ,32   ,28   ,23   ,18   ,2    ,7672  ,54.9 ,36.2 ,35.0,45.6  ,68    
Addison,2019,317.0,2.27,45.37,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,9156  ,47.2,50.2,35.0,52.150000000000006,55.4
Addison,2019,317.0,2.27,45.37,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,8584.5,47.2,50.2,35.0,52.150000000000006,55.4  
Addison,2019,317.0,2.27,45.37,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,8013  ,47.2,50.2,35.0,52.150000000000006,55.4
Bennington,1990,257  ,4.1  ,60.22 ,257  ,4    ,152  ,32   ,113  ,2    ,-8   ,90   ,31   ,27   ,24   ,20   ,15   ,32   ,23   ,23   ,14   ,14   ,7759.0,46   ,56.7 ,35.2 ,60.3  ,95.85
Bennington,1990,257.0,3.7  ,55.74 ,257.0,4.0,152.0,32.0,113.0,2.0,-8.0,90.0,31.0,27.0,24.0,20.0,15.0,32.0,23.0,23.0,14.0,14.0,7759.0,46.0,56.7,35.2,42.1  ,95.85
Bennington,1990,257.0,2.45 ,54.69 ,257.0,4.0,152.0,32.0,113.0,2.0,-8.0,90.0,31.0,27.0,24.0,20.0,15.0,32.0,23.0,23.0,14.0,14.0,7759.0,46.0,56.7,35.2,73.8  ,95.85
Bennington,1991,173  ,1.78 ,45.96 ,173  ,23   ,180  ,53   ,124  ,0    ,-14  ,89   ,32   ,27   ,23   ,19   ,15   ,31   ,27   ,21   ,19   ,12   ,6709.0,43.7 ,55.6 ,31.7 ,52.8  ,95.85
Bennington,1991,173.0,1.78,45.96,173.0,23.0,180.0,53.0,124.0,0.0,-14.0,89.0,32.0,27.0,23.0,19.0,15.0,31.0,27.0,21.0,19.0,12.0,6709  ,43.7,55.6,31.7,34.3  ,95.85
Bennington,1991,173.0,2.16 ,50.85 ,173.0,23.0,180.0,53.0,124.0,0.0,-14.0,89.0,32.0,27.0,23.0,19.0,15.0,31.0,27.0,21.0,19.0,12.0,6709.0,43.7,55.6,31.7,76.6  ,95.85
Bennington,1991,173.0,1.54 ,45    ,173.0,23.0,180.0,53.0,124.0,0.0,-14.0,89.0,32.0,27.0,23.0,19.0,15.0,31.0,27.0,21.0,19.0,12.0,6709.0,43.7,55.6,31.7,57.8  ,95.85
Bennington,1992,54   ,2.45 ,43.02 ,54   ,26   ,197  ,62   ,91   ,0    ,-14  ,85   ,32   ,26   ,23   ,20   ,15   ,32   ,28   ,24   ,17   ,14   ,8598  ,40.5 ,51.9 ,29.2 ,34    ,95.85
Bennington,1992,81.0,2.1  ,45.07 ,81.0,18.5,182.5,49   ,103  ,1    ,-10.0,90   ,30.5,25.5,23.5,20.0,14.5,31.5,26.0,24.0,15.0,13.5,8598.0,41.75,53.5 ,31.1,38    ,95.85
Bennington,1992,108  ,1.83 ,34.24 ,108  ,11   ,168  ,56   ,101  ,0    ,-6   ,85   ,29   ,25   ,24   ,20   ,14   ,31   ,24   ,24   ,13   ,13   ,8598.0,43   ,53.1 ,33   ,46.5  ,95.85
Bennington,1992,81.0,2.1100000000000003,40.535,81.0,18.5,182.5,56.0,101.0,0.0,-10.0,85.0,30.5,25.5,23.5,20.0,14.5,31.5,26.0,24.0,15.0,13.5,8598.0,41.75,53.1,31.1,80.7  ,95.85
Bennington,1992,81.0,2.12 ,38.05 ,81.0,18.5,182.5,56.0,101.0,0.0,-10.0,85.0,30.5,25.5,23.5,20.0,14.5,31.5,26.0,24.0,15.0,13.5,8598.0,41.75,53.1,31.1,40.7  ,95.85
Bennington,1993,147  ,1.15 ,45.04 ,147  ,38   ,190  ,67   ,106  ,0    ,-27  ,89   ,27   ,27   ,24   ,17   ,16   ,32   ,25   ,23   ,16   ,16   ,8768  ,41.2 ,53   ,29.4 ,90.9  ,95.85
Bennington,1993,147.0,1.92 ,45.29 ,147.0,38.0,190.0,60   ,103  ,1    ,-27.0,90   ,27.0,27.0,24.0,17.0,16.0,32.0,25.0,23.0,16.0,16.0,8343.5,41.2,53.1 ,29.4,92.7,95.85
Bennington,1993,147.0,1.4500000000000002,45.165,147.0,38.0,190.0,63.5,104.5,0.5,-27.0,89.5,27.0,27.0,24.0,17.0,16.0,32.0,25.0,23.0,16.0,16.0,7919  ,41.2,53.05,29.4,92.4  ,95.85
Bennington,1993,147.0,1.62 ,53.07 ,147.0,38.0,190.0,63.5,104.5,0.5,-27.0,89.5,27.0,27.0,24.0,17.0,16.0,32.0,25.0,23.0,16.0,16.0,8343.5,41.2,53.05,29.4,155   ,95.85
Bennington,1993,147.0,1.28 ,40.72 ,147.0,38.0,190.0,63.5,104.5,0.5,-27.0,89.5,27.0,27.0,24.0,17.0,16.0,32.0,25.0,23.0,16.0,16.0,8343.5,41.2,53.05,29.4,93    ,95.85
Bennington,1994,202  ,1.65 ,48.11 ,202  ,40   ,190  ,61   ,95   ,0    ,-35  ,89   ,30   ,25   ,23   ,19   ,14   ,30   ,27   ,22   ,20   ,16   ,8926  ,41.4 ,53.5 ,29.4 ,74.8  ,95.85
Bennington,1994,202.0,2.22 ,49.97 ,202.0,40.0,190.0,65   ,95   ,2    ,-35.0,92   ,30.0,25.0,23.0,19.0,14.0,30.0,27.0,22.0,20.0,16.0,8926.0,41.4,53.9 ,29.4,88    ,95.85
Bennington,1994,202.0,2.14 ,50.15 ,202.0,40.0,190.0,63.0,95.0,1.0,-35.0,90.5,30.0,25.0,23.0,19.0,14.0,30.0,27.0,22.0,20.0,16.0,8926.0,41.4,53.7,29.4,116.8 ,95.85
Bennington,1994,202.0,1.69 ,41.26 ,202.0,40.0,190.0,63.0,95.0,1.0,-35.0,90.5,30.0,25.0,23.0,19.0,14.0,30.0,27.0,22.0,20.0,16.0,8926.0,41.4,53.7,29.4,83.1  ,95.85
Bennington,1995,317.0,3.5,44.56,317.0,22.0,167.0,61.0,114.0,4.0,-19.0,96.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,54.4,35.0,71.3  ,95.85
Bennington,1995,317.0,3.51 ,48.8  ,317.0,22.0,167.0,61   ,114  ,4    ,-19.0,96   ,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,54.4 ,35.0,74.3,95.85
Bennington,1995,317.0,2.42 ,40.84 ,317.0,22.0,167.0,61.0,114.0,4.0,-19.0,96.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,54.4,35.0,70.5  ,95.85
Bennington,1995,317.0,3.5  ,44.56 ,317.0,22.0,167.0,61.0,114.0,4.0,-19.0,96.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,54.4,35.0,115.3 ,95.85
Bennington,1995,317.0,3.5,44.56,317.0,22.0,167.0,61.0,114.0,4.0,-19.0,96.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,54.4,35.0,77.3  ,95.85
Bennington,1996,317.0,2.24,53.17,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,50.2,35.0,90.9  ,95.85
Bennington,1996,317.0,2.24,53.17,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,50.2,35.0,72.6  ,95.85
Bennington,1996,317.0,2.24 ,53.17 ,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,50.2,35.0,95.7  ,95.85
Bennington,1997,91   ,1.32 ,45.13 ,91   ,17   ,202  ,70   ,99   ,0    ,-16  ,88   ,28   ,28   ,23   ,18   ,15   ,28   ,28   ,24   ,20   ,16   ,7759.0,40.9 ,52.6 ,29.1 ,91.6  ,95.85
Bennington,1997,91.0,2.12 ,51.02 ,91.0,17.0,202.0,64   ,93   ,0    ,-16.0,87   ,28.0,28.0,23.0,18.0,15.0,28.0,28.0,24.0,20.0,16.0,7759.0,40.9,52   ,29.1,107.8 ,95.85
Bennington,1997,91.0,1.55 ,48.86 ,91.0,17.0,202.0,67.0,96.0,0.0,-16.0,87.5,28.0,28.0,23.0,18.0,15.0,28.0,28.0,24.0,20.0,16.0,7759.0,40.9,52.3,29.1,165.5 ,95.85
Bennington,1997,91.0,1.52 ,40.81 ,91.0,17.0,202.0,67.0,96.0,0.0,-16.0,87.5,28.0,28.0,23.0,18.0,15.0,28.0,28.0,24.0,20.0,16.0,7759.0,40.9,52.3,29.1,97.4  ,95.85
Bennington,1998,317.0,2.23,45.87,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,50.2,35.0,24    ,95.85
Bennington,1998,317.0,2.23 ,45.87 ,317.0,22.0,167.0,61.0,116.0,3.0,-19.0,92.0,31.0,27.0,23.0,19.0,14.0,31.0,27.0,23.0,18.0,13.0,7759.0,47.2,50.2,35.0,43.5  ,95.85
Bennington,1999,384.0,3.76 ,45.71 ,384.0,9.0,154.0,42   ,132  ,7    ,-13.0,91   ,27.0,27.0,23.0,20.0,13.0,32.0,26.0,24.0,19.0,16.0,7759.0,47.1,58.5 ,36.1,52.4  ,95.85
Bennington,1999,384  ,2.84 ,32.76 ,384  ,9    ,154  ,47   ,126  ,3    ,-13  ,90   ,27   ,27   ,23   ,20   ,13   ,32   ,26   ,24   ,19   ,16   ,7759.0,47.1 ,58.2 ,36.1 ,52.4,95.85
